角色代号,中文角色名,语音文件名/句ID,台词文本
gen,gen,gen101_006,叢雨丸に選ばれたとはいえ、怪我をさせたりと……ワシは孫であるお前を――
gen,gen,gen101_007,そうか……。うむ、そうだな
gen,gen,gen101_008,謝罪を受け入れてもらうよりも、お前に感謝をしてもらえる方がワシとしても喜ばしい
gen,gen,gen101_009,お前には本当に感謝している、将臣。ありがとう
gen,gen,gen101_010,そうだな、わかった。ではやるか！
gen,gen,gen101_011,たまには朝から手合わせをしてみるか、将臣！
gen,gen,gen101_012,お前の成長を、ワシに実感させてくれ！
gen,gen,gen101_013,きえぇぇぇぇぇぇぇぇぇ！
gen,gen,gen101_014,ところで将臣、鍛練を続けるという事は、ここに残ることに決めたのか？
gen,gen,gen101_015,そうか
gen,gen,gen101_016,で、巫女姫様との結婚の件はどうするつもりか、決めているのか？
gen,gen,gen101_017,それはお前と巫女姫様で決めればいい
gen,gen,gen101_018,正直に言えば、お前で大丈夫かという不安はもちろんある
gen,gen,gen101_019,だがな、最近のお前の頑張りを見ていると、心配は要らぬのではないか……とも思うようになってきた
gen,gen,gen101_020,鍛練を投げ出すことなく続けた。真面目に取り組んでいるのも、当然わかっている
gen,gen,gen101_021,今のお前になら、ワシがとやかく言う必要はないだろう
gen,gen,gen101_022,お前には多大な迷惑をかけた。これ以上ワシらの都合に振り回すつもりはない
gen,gen,gen101_023,結婚せずに都子のところに戻るならばそれでいい
gen,gen,gen101_024,もし２人の間に、まあ、そのなんだ……そういう意志があるのならば、結婚すればいい
gen,gen,gen101_025,だがな、婚約を解消してもあそこでお世話になり続けるというのは、さすがに話が違う
gen,gen,gen101_026,今日明日中に決めろとは言わぬが……ケジメだけはきっちりつけるようにな
gen,gen,gen101_027,巫女姫様！？今日は、どうされたのですか？
gen,gen,gen101_028,そうなのですか？
gen,gen,gen101_029,邪魔だなんてそんなことは決して！納得行くまでご見学下さい！
gen,gen,gen101_030,将臣、これは一体どういうことだ？
gen,gen,gen101_031,そうか。ならばいいが……
gen,gen,gen101_032,何か配慮した方がいいというわけでもなく、いつも通りでいいんだな？
gen,gen,gen101_033,わかった
gen,gen,gen101_034,では巫女姫様、鍛練は公民館で行いますので移動致します
gen,gen,gen101_036,腰が遅れて手だけで打っているぞ！　そんなことでは――ぃぃぃぃぁああ！
gen,gen,gen101_037,楽な方に逃げるな！
gen,gen,gen101_039,ぜぇ……ぜぇ……ぎょ、今日はっ、ごれまで……
gen,gen,gen101_040,なっ、なんのなんの、これぐらい
gen,gen,gen101_041,で、では戻りましょうか……ぜぇ……ぜぇ……
gen,gen,gen101_042,いえ、この程度。興味がありましたら、またいつでもいらして下さい
gen,gen,gen101_043,それでは巫女姫様、ワシはこれで失礼します
gen,gen,gen101_044,痛み入ります
gen,gen,gen102_001,今日はここまで！
gen,gen,gen102_002,では将臣、また明日だな
gen,gen,gen102_003,うむ
gen,gen,gen104_001,将臣
gen,gen,gen104_002,将臣っ！
gen,gen,gen104_003,なにをボーっとしている。今日は、おかしいぞ
gen,gen,gen104_004,鍛練でも集中力を欠いていた。ときおり呆けたように天井を見上げて……
gen,gen,gen104_005,熱でもあるのか？もしそうならちゃんと休め。変に無理をすると大怪我に繋がる
gen,gen,gen104_006,気を付けるようにな
gen,gen,gen104_007,うむ
gen,gen,gen104_008,では、また後でな
gen,gen,gen104_009,なんだ。お前、今日のことを聞いていなかったのか？
gen,gen,gen104_010,今日はな、巫女姫様の婚約を祝う席が設けられているんだ
gen,gen,gen104_011,おめでとう、将臣
gen,gen,gen107_001,そうか……まだ、呪いは解けていなかったのか
gen,gen,gen107_003,うむ。しかし……
gen,gen,gen107_004,いや、何でもない。話は分かった。もし何か気付くことがあれば、すぐに報告を入れよう
gen,gen,gen109_001,もうこんな時間か
gen,gen,gen109_002,よし。今日はもう終わりにしておこう
gen,gen,gen109_003,では、また明日だ
gen,gen,gen201_001,お前はこの町に残るのだな？
gen,gen,gen201_002,わかった。お前がそう決めたのなら、ワシも応援しよう
gen,gen,gen201_003,お前には……迷惑をかけたな。本当にすまないと思っている
gen,gen,gen201_004,そうなのか？
gen,gen,gen201_005,将臣……
gen,gen,gen201_006,そうか……立派になったな、将臣。ワシとしても嬉しいぞ……くぅ……ッッ
gen,gen,gen201_007,そういう事ならば、ワシは何も言うまい
gen,gen,gen201_008,困ったことがあれば、いつでも言え。できる限りのことはしよう
gen,gen,gen201_009,それで鍛練の方はどうする？元々は祟り神と対峙するためのものだっただろう？
gen,gen,gen201_010,そうだな、そこまで鍛練を積む必要はもうないしな
gen,gen,gen201_011,ワシは構わぬが、嫌なら無理をせずとも
gen,gen,gen201_012,お前がそんな風に考えるようになったとは……ワシとしても本当に嬉しい
gen,gen,gen201_013,わかった。では鍛練は続けるとしよう
gen,gen,gen203_001,よしっ、今日はこれまで
gen,gen,gen203_002,食事はよく噛むようにな
gen,gen,gen203_003,むっ……将臣っ！
gen,gen,gen203_004,犬とは珍しい
gen,gen,gen203_005,飼うことが禁じられているわけではないがな
gen,gen,gen203_006,逃げたり捨てたりで野犬化すると、観光地としては色々と困る。それに祟り神の問題もあった
gen,gen,gen203_007,さすがに放っておくわけにもいかんだろう
gen,gen,gen203_008,町の者にしろ観光客にしろ、飼い主に返した方がいいに決まっている
gen,gen,gen203_009,いや、ペットも泊まれる宿を中心に、ワシが訊いてみよう。おそらくその方が早い
gen,gen,gen203_010,どれ……ワシの方で預かるとするか
gen,gen,gen203_011,ワシにはなつきそうにないな
gen,gen,gen203_012,……加齢臭、というやつか……？寂しいものだ……
gen,gen,gen203_013,わかった。もし問題があればすぐにワシのところに預けにこい
gen,gen,gen203_014,なに、狭い町だ、すぐに見つかる
gen,gen,gen209_001,残念ながら、思い当たる節はないな
gen,gen,gen209_002,ワシが思い当たるのは、祟り神ぐらいなものだ。すまんな
gen,gen,gen209_003,それはやはり駒川先生だろう。話は訊いたのか？
gen,gen,gen209_004,駒川先生にも思い当たる物はないか
gen,gen,gen209_005,となると、あとはムラサメ様ぐらいなものだろう
gen,gen,gen209_006,ふむ、であれば……そうだな……。呪いとはあまり関係がないが、史蹟に行ってみてはどうだ？
gen,gen,gen209_007,大層な物ではないのだがな。山の中に石碑がある
gen,gen,gen209_008,首塚というわけでもないが……合戦で死んだ者、流行り病で死んだ者を慰霊するための石碑だ
gen,gen,gen209_009,霊を慰めるための物であれば、憑代の代わりにはならぬだろうが
gen,gen,gen209_010,一応、ワシも調べてみよう。といっても、人伝に訊くぐらいしかできんが
gen,gen,gen301_001,ならん
gen,gen,gen301_002,婚約を解消したのに、同居を続ける理由がないではないか
gen,gen,gen301_003,理由がないのに、安晴様に負担をかけるわけにはいかん
gen,gen,gen301_004,ん？何だ？言いたいことがあるのか、将臣
gen,gen,gen301_005,ムラサメ様？ここにいらっしゃるのか？
gen,gen,gen301_006,何とこれはお見苦しいところを
gen,gen,gen301_007,失礼致しました
gen,gen,gen301_008,わかりました
gen,gen,gen301_009,ん？それは真ですか？
gen,gen,gen301_010,それは何故に……
gen,gen,gen301_011,……そうか。確かに御神刀は建実神社で保管した方が良いな
gen,gen,gen301_012,ムラサメ様も当然、建実神社にいらした方が良い。それに――
gen,gen,gen301_013,お前が唯一の使い手なのは確かだ
gen,gen,gen301_014,しかし、婚約を解消した今、若い男が、巫女姫様と同居し続けて良いものか……
gen,gen,gen301_015,何故、わかるのですか？
gen,gen,gen301_016,巫女姫様が、将臣をそこまで
gen,gen,gen301_017,そうか……
gen,gen,gen301_018,ムラサメ様と巫女姫様が望んでおられるのなら、反対はできませんな
gen,gen,gen301_019,常陸さん、不肖の孫ですが改めてよろしくお願いします
gen,gen,gen301_020,下男として、好きなようにこきつかってください
gen,gen,gen301_021,当たり前だ。婚約者でない以上、今まで以上に働くのは当然至極
gen,gen,gen301_022,働かざる者、食うべからずだ
gen,gen,gen302_001,うむ、今日も来たか
gen,gen,gen302_002,こら、それを早く言わんか
gen,gen,gen302_003,いつも、孫がお世話になっております。ムラサメ様
gen,gen,gen302_004,いや、しかし、ムラサメ様がいてこそ今の穂織があるのも事実……
gen,gen,gen302_005,そのムラサメ様と気安くするなど……
gen,gen,gen302_006,申しわけありません
gen,gen,gen302_007,ん？どうかしたのか？
gen,gen,gen302_008,祝いか……
gen,gen,gen302_009,ワシは直接、祟り神と対峙したことはなかった
gen,gen,gen302_010,大して役には立っておらんが、安晴様がそうおっしゃるのなら、喜んで参加しよう
