=== 蕾娜 (len) 剧情配音文本 ===
共计 2466 句台词

[len006_002] きゃああああぁぁぁぁっ！？
[len007_008] 日本語は拙いかもしれませんが、ちゃんと勉強していきますので、よろしくお願い致します
[len007_009] でもオカミには怒られてばかりでありますよ……
[len007_010] 真でありますか！？よろしくお願い致しますっ
[len007_011] 同じクラスになれてとても嬉しいです
[len007_012] 改めて、よろしくお願い致しますね、マコ
[len007_013] 他の皆様も、どうぞよろしくお願い致します
[len007_014] 初めまして。レナ・リヒテナウアーと申します
[len007_016] ビックリしました
[len007_017] では改めて
[len007_018] よろしくお願い致しますね。ヨシノ……おや？
[len007_019] トモタケ……？もしかして、穂織のお姫様ですか？
[len007_021] そうしたいのはやまやまですが……胸が窮屈でして。リボンもすぐに解けてしまうのです
[len007_022] ですよー。ハッ！？わたし、お姫様にとても失礼な言葉づかいを
[len007_024] そうなのですか？
[len007_025] わかりました
[len007_026] そうですか？オカミには怒られてばかりなのですが……
[len007_027] 日本語もオカミから教わり直している最中でありまして
[len007_028] オカミ、怖いです……
[len007_029] でも、想像以上に日本は素敵なところです！タタリにオンネン、サイコーです！
[len007_030] あと、お寿司も美味しかったです
[len007_031] うっ……ワサビィ……
[len007_032] ワサビぐらい、へっちゃらですとも！
[len007_033] へ、ヘーキです。ワサビは日本の情緒、受け入れられます。心の汗は出てしまいますが……
[len007_035] なんですと！？
[len007_036] な、なんと……そのような事実が……ワサビを抜いてよかっただなんて……ファッキンワサビ
[len007_037] オンナタラシ？なんですか？
[len007_038] おー、把握しました。女誑し……わたし、覚えました！
[len007_039] はい。ありがとうございます
[len007_040] おぉー、ふむふむ
[len007_041] ダメですよ、マサオミ。授業はちゃんと聞かないと
[len007_042] お疲れですか？
[len007_043] 睡眠はとても重要ですよ
[len007_044] それがいいと思いますよ
[len007_045] はい。女誑しで遊び人のレンタロウですね
[len007_046] 冗談ですよー。クラスのみんなに言われる前から、レンタロウのことは知ってましたよ
[len007_047] 噂はかねがね。大旦那さんから色々とお聞きしていますので。
[len007_048] 板長にお弁当を作ってもらいました！
[len007_049] レンタロウとマサオミもお弁当ですか？
[len007_050] おー！ありがとうございます
[len007_051] すみません。わたしはすぐに旅館に戻って働かねばなりません
[len007_052] 覚えなければいけないことが沢山ありますので
[len007_053] はい。よろしくお願い致します
[len007_054] それではみなさん、オタッシャデー
[len009_001] マサオミー
[len009_002] なんだか楽しそうですね
[len009_003] やっぱり楽しそうです。わたしもご一緒してよろしいですか？
[len009_004] コハル！レンタロウの妹さんですね。大旦那さんから聞いています、よろしくお願い致します
[len009_005] まだまだ驚きと興奮の連続です。もうファッキンな毎日ですよ
[len009_006] そうなのです。実は今も腕が痛いのです
[len009_007] あと……こちらに来てから、たまに耳鳴りや頭痛もあったりで
[len009_008] いえ、きっと仕事に慣れていないのが原因だと思います。少し寝不足気味ですので
[len009_009] でも、やりがいはあります！色々学べるのは望むところです
[len009_010] これからも頑張りたいと思います。そのためにもまずは栄養を摂らねば！
[len009_011] おー！折角です、マコや姫様も一緒に食べませんか？
[len009_012] ヘーキでありますか？
[len009_013] 違いますよ。みんなで一緒に食べる方が楽しくて美味しいからです
[len009_014] あと、気軽にレナと呼んで下さい
[len009_015] モチはロンですとも。そう呼んでもらえる方が嬉しいです
[len009_016] はい、ヨシノ
[len009_017] あわわわ！？か、顔が真っ赤に！？ヘーキでありますか？
[len009_018] 緊張？なにゆえに？
[len009_019] そうなのですか。でもマコのことは、呼んでいませんか？
[len009_020] そういうものですか
[len009_021] わかりました、ヨシノ
[len009_022] はむはむ……んふっ。日本のお弁当は、やっぱり凄い美味しいですね
[len009_023] サンドウィッチやパスタ……カットした野菜や丸ごとのフルーツだったり……
[len009_024] あまり彩り豊かとは言えないようなものばかりで、つまらないです
[len009_025] はい。板長のまかないは凄く美味しいです
[len009_026] 食べてみますか？
[len009_027] ヨシノもどうぞ
[len009_028] ありがとうございます。はむ……んーっ、こちらも美味しいですね
[len009_029] これはヨシノの手作りですか？
[len009_030] おー！マコは料理がとても上手ですね
[len009_031] コハルのお弁当は、コハルが作ったのですか？
[len009_032] 交換しませんか？板長のキンチラゴボウ、美味しいですよ
[len009_033] おー、そうでした。コハルは板長を知っているんですね
[len009_034] では、交換はしないですか？
[len009_035] はい、よろこんで
[len009_036] おー！ありがとうございます
[len010_001] 。。。
[len010_002] おー？マサオミ？それにヨシノとマコまで
[len010_003] どうしたんですか？大旦那さんに御用ですか？
[len010_004] わたしですか？申し訳ないです、ただいま仕事中ですゆえ、あまり時間はありませんが
[len010_005] 何をでありましょう？
[len010_006] ………？初耳ですが？
[len010_007] そういえば……ここの掃除が終わった後のことは何も聞いていませんね
[len010_008] 女将。はい、終わりましたのでございます
[len010_009] おう……申し訳ないでした
[len010_010] よろしくお願い致します
[len010_011] お休みですか……予想外ですね
[len010_012] そういう事であればわたし、お願いがあるのですが
[len010_013] わたし、ヨシノが着ているような服を着てみたい！
[len010_014] 折角、穂織に来たのですから
[len010_015] 感謝乱撃雛あられ！
[len010_016] それでは着替えてまいりますので、少々お待ちくださいませー
[len010_017] おー！これです、こういうのが欲しかったのですよー
[len010_018] 豪に入れば豪に従います
[len010_019] ではさっそく行きましょう！
[len010_020] とはいえ、あまり高級だと困りますね……
[len010_022] 如何でしょうか、マサオミ？　変ではありませんか？
[len010_023] おー、ありがとうございます！褒めてもらえて嬉しいのですよ、ふふふ
[len010_024] 。。。
[len010_025] タゴリヤ？
[len010_026] デザート！それは素晴らしい。
[len010_027] そっちの趣味？
[len010_028] おー。シスコーンでありますか
[len010_030] デザートを食べにきましたよ。コハル！
[len010_031] レナ・リヒテナウアーです。よろしくお願い致します
[len010_032] 毎日楽しいですよ。みなさんとっても良い人で、日本に来られて本当によかったと思っています
[len010_033] ありがとうございます！では早速ですが、美味しいデザートが食べたいです
[len010_034] ありがとうございます
[len010_035] どれも美味しそうで悩んでしまいますね。
[len010_036] すみません。注文、よいですかー？
[len010_037] 抹茶パフェ抹茶パフェ
[len010_038] ヒャッハー！
[len010_040] パフェ美味しいですね。とっても優しい甘さで、もう腰砕けですよぉ
[len010_041] 甘味処は素敵なところですねぇ
[len010_042] やばい……？わたしの服はやばいのでしょうか？
[len010_043] そうでありますか……ふふふ。ありがとうございます
[len010_044] 嬉しいですが、ほめ過ぎですよ、レンタロウ。そこまで言われると、恥ずかしくなります
[len010_045] はい。男の人はよくしていましたよ。とても大きな魚が釣れます
[len010_046] 大きければ１ｍぐらいの魚も釣れますよ
[len010_047] ＳＡＯとはどういう意味でありますか？
[len010_048] そうですよ、ヨシノの言う通りです
[len010_049] おー、とても簡単ですね。これがＳＡＯ。日本では、こうやって釣りをするのですか？
[len010_050] わたしはお父さんと何度かしたことがあります
[len010_051] おー……思っていたよりも、浅くて狭い川ですね
[len010_052] 魚はちゃんといるのですか？
[len010_053] わお、本当ですね
[len010_054] ほうほう……そうなのですか……
[len010_055] はい！わたしも食べたいであります
[len010_056] ありがとうございます
[len010_057] むきますむきます。
[len010_058] がぶっとな
[len010_059] おぉぅ！？これは……ワサビほどではありませんが、なかなかキますね……
[len010_060] ……うー……何とも言えない味ですね
[len010_061] そういうものですか
[len010_063] わたしも。板長にお願いしたら、作ってくれるでしょうか……？
[len010_064] では試しに持って帰ってみましょう！
[len010_066] よろしくお願い致します！
[len010_067] はい！よろしくお願い致します
[len010_068] はい、お願いします！
[len010_069] そういえば、餌はどうするんですか？
[len010_070] ミミズ？
[len010_071] 簡単ですね
[len010_072] いよ……っと
[len010_073] えいさー！
[len010_074] わお、さっそくヒット！これは大物であります！グイグイ！グイグイですよ！
[len010_075] おわ！？変な魚が釣れましたよ、マサオミ！なんですか、これは！？
[len010_076] シャツ？
[len010_078] ………
[len010_079] ……は……は
[len010_080] はひゃっ！？はだっ、はだっ、男の人のはだだだだだだだだだだだだだ――
[len010_081] 。。。。。。ッ！？
[len010_082] ……うーん……
[len010_083] ……裸ぁ……男の人のはだかぁ……
[len010_084] ご迷惑をおかけして、誠に申し訳ないでした
[len010_085] はい、ヘーキです。男の人の裸に……ちょっと驚いただけでありまして
[len010_086] い、いえいえ！そういうわけではなくて！
[len010_087] 単純に、裸なんて見慣れておらず……本当に驚きました
[len010_088] い、いえ！マサオミが悪いわけではありません。むしろわたしの方こそ……申し訳ないでした
[len010_089] よもや、意識を失ってしまうとは……ご心配をおかけしました
[len010_090] はい。もうヘーキです。意識はハッキリ身体もバッチリであります
[len010_091] 改めて、釣りを教えてもらえませんか、マサオミ
[len010_092] はい。わかりました
[len010_093] 魚が気付くんですか？
[len010_094] おー、頭がよいのですね。そういうものですか
[len010_095] ちょっと侮っておりました。川魚、侮りがたし
[len010_096] そうですね……そういえば、ほんの少し引いているような……？
[len010_097] そうなのですか？では……
[len010_098] わお！本当につれていました！いきがいいですね！
[len010_099] はい。ヘーキですよ
[len010_100] おー……可愛らしい魚ですね
[len010_101] これ、わたしが持って帰ってもいいですか？板長にさばき方を教えてもらいたいので
[len010_102] ありがとうございます、うぇひひ
[len010_103] 今日は本当にありがとうございました。とても楽しかったです！
[len010_104] 可愛い服を買って、釣りをして魚まで手に入れて
[len010_105] それでは、わたしはこの辺りで失礼いたします
[len010_106] それには及びません。道は覚えておりますので
[len010_107] それでは皆様、また学院で
[len010_108] わかりました！それでは皆様、オタッシャデー
[len011_001] おや？マサオミ？
[len011_002] ヨシノとマコも一緒で、どこかにお出かけですか？
[len011_003] 届け物を終わらせまして、今から帰るところなのでありますよ
[len011_004] ところでヨシノ……わたしも質問よろしいでしょうか？
[len011_005] どうして、ケモミミを頭に付けているんですか？
[len011_006] その耳です。どうしてそんな物をつけて、出歩いているのでしょうか？
[len011_007] ？？？ヨシノが付けている耳のことでありますか？
[len011_008] もちろん見えておりますよー。全然隠れていないじゃないですかー
[len011_009] あと、その子はどちら様でしょうか？どなたかの妹さんですか？
[len011_010] とても可愛らしい少女でありますね
[len011_012] シカトされてしまうと、ちょっと傷ついてしまいますですよ～……
[len011_013] わたし、レナ・リヒテナウアーと申します。初めまして
[len011_014] よろしければ、お名前を教えてもらえませんか？
[len011_015] ムラサメ？わお！素敵なお名前でありますね！
[len011_016] ありがとうございます。でもリヒテナウアーです。猫ではありませんよ
[len011_017] はい。でも、気軽にレナと呼んで下さいね
[len011_018] はい？なんでありましょう？
[len011_019] な、なんでしょうか？そんなに見つめられると、困るのですが
[len011_020] はい？キョウシュクとは一体……
[len011_021] え？え？なんですか？神隠しでありますか？わたし、仕事に戻らねばならないのでありますが――
[len011_022] ちょ、ちょっとお待ちを。。。
[len011_023] ここは？
[len011_024] はぁ……本当にどうしてこんなところに？
[len011_026] わかりました。みなさん面白半分ではなさそうですので
[len011_027] ……んっ……
[len011_028] いえ、たいしたことではないのですが……少し頭痛が……
[len011_029] ……なっ、なんでありますか、アレは……い、生き物？
[len011_030] ふぇぁ！？な、なにがなにやら――
[len011_031] ひゃっ！？
[len011_032] あわわっ！？
[len011_033] アレが何かはわかりませぬが、逃げた方がいいです。危ないですよ！
[len011_034] え？え？あ、えぇぇいっ！
[len011_035] ヨシノ！？
[len011_036] ――ひっ！？
[len011_039] マサオミ！？　衛生兵、衛生兵はどこですかー！？
[len012_001] マサオミ……よかった、ちゃんと起きたのですね……
[len012_003] マサオミ、お見舞いのプリンです。大旦那さんから、任されました
[len012_004] はい。お任せ下さい
[len012_005] それは何よりでありますね
[len012_007] そうですよ、マサオミ。わたしがお茶を淹れてきましょう
[len012_008] 今日ぐらいは、わたしに頼って欲しいのでありますよ
[len012_009] ヘーキですよ。むしろ今日は大旦那さんに言われていますので
[len012_010] マサオミやマコが怪我をして色々大変でしょうから、今日は家事のお手伝いをするように、と
[len012_011] ということで、何かあればお任せですよ
[len012_012] はい。わたしの今日のお仕事なのです。是非、手伝わせて下さい、お願い致します
[len012_013] ですが、普段はマコが家事全般をしていると聞きました
[len012_014] そんなマコが怪我をして大変でありましょう？例えば御飯など
[len012_015] では、わたしが
[len012_016] ヨシノは料理ができるのでありますか？
[len012_017] 日本では料理の基本を『さしすせそ』で言いますよね？
[len012_018] んー！ヨシノは可愛らしい人ですね！
[len012_019] ではその気持ちを汲んで、手慣れた人と一緒に作るとよさそうですね
[len012_020] ですが、流石にこの人数は多いかもしれませんねぇ
[len012_021] ではわたしは別のお手伝いをしましょう
[len012_022] もちろん、マサオミの寝床のサービスですよ。。わたし、こう見えても床上手なのですよ、ふっふっふっ
[len012_023] それだけは女将にも褒められるぐらいですよ
[len012_024] ずっと寝ていたのなら、お布団を干してシーツも変えた方がよいですよね？
[len012_025] 気持ちよく眠れるように整えますので、お任せ下さい。自信あります
[len012_026] ………？わたし、変なことを言いましたか？
[len012_027] あのー、わたしはお言葉に甘えてもよろしいですか？
[len012_028] ありがとうございます。頑張って働きますので！さてと、では早速！
[len012_029] その気持ちはありがたいのですが、無理をしてはいけませんよ？
[len012_030] さて！ではどの部屋から行きましょうか！
[len012_031] ……はい？
[len012_033] 話とは……わざわざこんなところでしなければいけないんですか？
[len012_034] おー……それはもしや、あのモンスターのことでありますか？確か……
[len012_035] タタミ神……
[len012_036] おお、そうでありました。大変失礼致しました
[len012_037] はい。決して他言は致しませんのでご安心下さい
[len012_038] ヘーキですよ。別にイタズラで巻き込まれたわけでもなし、事故です
[len012_039] 飼い犬に噛まれた程度のことです。気にしていません
[len012_040] ………？
[len012_041] わたしは、マコやマサオミの元気な顔が見られて嬉しいですよ
[len012_042] ……わかりました
[len012_043] あわっ！？いたのですか、ビックリしました
[len012_044] な、なるほど
[len012_045] ……はい
[len012_046] ……事情は把握いたしました
[len012_047] とにかく、そのために不思議な石が必要ということですね
[len012_048] そして、わたしもその石に関係があると
[len012_050] 少々お待ち下さい
[len012_051] おそらく、コレではないかと
[len012_052] いえ、拾った物ではありません。コレはわたしの家に代々受け継がれてきた物なのです
[len012_053] はい。わたしはお祖父ちゃんから譲ってもらいました
[len012_054] 子供の頃からずっと持っていまして、日本に来るときにもお守り代わりに持ってきたのです
[len012_055] お祖父ちゃんは、もう……日本には、来られませんので……
[len012_057] 頭を上げて下さい、マサオミ。構いませんよ
[len012_058] あのですね、構いませんと……
[len012_059] おー！何でもして頂けるのですか？それはとてもいいことを聞きましたね
[len012_060] 構いません。だってマサオミやヨシノには必要なのでしょう？
[len012_061] ……え？
[len012_062] お祖父ちゃん生きておりますが
[len012_063] 元気ではあるのですが、もう高齢ですので膝や腰を悪くして。旅行は少し難しいだけですよ
[len012_064] 形見ではありませんので、ご安心下さい
[len012_065] 心配してくれるのはありがたく思いますが、そう念押ししないで下さい
[len012_066] 思わず考えが変わってしまいそうです
[len012_067] 確かにこれは大切な物です。このような事情でなければ頼まれても譲らなかったと思います
[len012_068] ですがマサオミは、日本でできた最初の友人です。あの時、マサオミやマコに案内されて嬉しかったです
[len012_069] それにヨシノもいい人で、学院で一緒にお弁当を食べるのも楽しいです
[len012_070] 毎日がすごく充実していて、満喫しています。みんな大切な友人です
[len012_071] おー！それからムラサメちゃんも、大切な友人の１人です
[len012_072] 友人のためであれば、むしろ譲らないと怒られてしまいますよ
[len012_073] それにですね、一つに戻ることが欠片の意思なのでしたら、そうすることが一番いいと思います
[len012_074] ご先祖様も、それを望んでいると信じております
[len012_075] ですので、気にせず受け取って下さい
[len012_076] とはいえ、タダで差し上げるわけではありませんよ
[len012_077] お譲りすれば“何でも”してくれるのですよね、マサオミ？
[len012_078] おお！ではわたし、日本の伝統芸能が見たいです
[len012_079] ハラキリー
[len012_080] あははー。冗談ですよー
[len012_081] 本当のお願いはですね……
[len012_082] わたしとこれからも友達でいて下さい
[len012_083] おおっと！わたしは軽い女ではありませんので、ただの友達ではいけません
[len012_084] 親友でなければいけませんよ？
[len012_085] それが、お譲りする条件です。さあ、どうしますか、マサオミ？
[len012_086] はい！ありがとうございます
[len012_087] はい、よろしくお願い致します、マサオミ
[len012_088] でも、ソレがタタリ神の原因だったとは……
[len012_089] わたしの家では、そんな危険な話はなかったのですが……運がよかったのでしょうか？
[len012_090] では……欠片を渡してしまったら、もうムラサメちゃんが見えなくなってしまうのでしょうか？
[len012_091] そうですか、よかった……。ムラサメちゃんも大切な友人ですので
[len012_092] はい
[len012_093] おー……本当に、一つになりましたね
[len012_094] 少しはマサオミとヨシノの役に立てたみたいでよかったです
[len012_095] いえいえ。約束は守ってくださいね
[len012_096] はい
[len012_097] では、戻って掃除を致しましょう。早くしないと、お布団が干せなくなってしまいますので
[len012_098] 。。。
[len012_099] これが旅館で働いた成果ですよ
[len012_100] これからは、レナ・床上手・リヒテナウアーとお呼びください、ふっふっふ
[len012_101] そうなのですか？では、どういう意味でありましょう？
[len012_102] はあ、かしこまりました……
[len012_103] さて、軽く拭き掃除もしたいのですが
[len012_104] あ、はい。ありがとうございます
[len012_105] マサオミが戻ってくるまでに、片付けをしてしまわないと
[len012_106] マサオミったら、みんなのお見舞いを放ったままにして
[len012_107] 確かコハルはビワでしたね……わたしの持ってきたプリンも一緒に冷やしておいた方がいいですよね
[len012_108] そういえば……レンタロウのお見舞いはなんだったのでありましょう？
[len012_109] 本ですか
[len012_110] これでしたら、冷やす必要はなさそうですね
[len012_111] おわわ、いけない。破れてしまいまし……た……？
[len012_113] いえ、これはレンタロウのお見舞い。持ってきたのはレンタロウでしたね
[len012_114] そ、それに……マサオミも男。お、男の人がこういうのを読むのも普通……
[len012_115] こ、こんな格好……恥ずかしくないんでしょうか？
[len012_117] ……わ、わたしも、いつかは、こんな風に肌をさらすのでしょうか？
[len012_119] でも……い、いつまでもそんなことを言っているわけにも……
[len012_120] 日本に来る前にも、みんなにバカにされてきましたし……わたしも、少しは慣れておかねば
[len012_121] では失礼して
[len012_122] ……ドキドキ……ドキドキ……
[len012_124] ～～～～～～～ッッ
[len012_126] こ、こんないやらしく、胸を持ち上げるだなんて
[len012_128] こうして、これが……こんな感じでしょうか
[len012_129] ……むむむ……
[len012_130] はっ！？わ、わたしは一体何を……
[len012_131] こんなことをしている場合ではないことはわかっているのですが……妙に気になってしまって
[len012_132] お、男の人は、このような過激な本を……。写っている女の人は、恥ずかしくないのでしょうか？
[len012_134] あわわわわわわ……はぁぁ……や、やっぱりファッキン、\\nファッキンすぎます。もはやファッ禁ですっ
[len012_136] こ、こんなファッ禁な格好まで！
[len012_137] あわわわわわわわ！ここここ、こんなファッ禁本、これ以上見ていられませんよぅ
[len012_139] ひゃっ！　こ、こんな……こんな格好……
[len012_140] しかし、どうしてモザイクがかかっているんでしょう？わざわざモザイクをかけるなんて……
[len012_141] もしや、マサオミはモザイクに興奮する特殊な趣味なのでありましょうか？
[len012_142] これもいわゆる日本のＨＥＮＴＡＩの一つ？
[len012_143] ……ジー……
[len012_145] ジーーーー……
[len012_147] ふ、ふむ……ぅむむむ……っ！？
[len012_149] このままだとわたしの頭までファッ禁してしまいそうですよぅ
[len012_151] お、男の人まで裸になって！？　は、[は]挿[い]入ってりゅ……これがしぇっくしゅ……
[len012_152] ぷしゅぅぅぅ。。。…………
[len012_153] う。。ん……
[len012_155] はぁ……まさか意識を失ってしまうとは……お恥ずかしい限りです
[len012_156] はい。もうヘーキです
[len012_157] こちらのお風呂に入ったおかげで、シャッキリであります
[len012_158] ご迷惑をおかけして、申し訳ないでした
[len012_159] そ、それは……まあ、色々とありまして
[len012_160] とにかく、もうヘーキです。あまり深くは追及しないで下さい……思い出しただけで、わたし……
[len012_161] ……ふしゅぅぅぅ。。。。……クラクラしますぅ
[len012_162] は、はい、ヘーキであります。さすがに実物が無ければ倒れることは……
[len012_163] それにしても……凄い広いのですね、ヨシノの家のお風呂は
[len012_164] 確かに露天の温泉は広いですが、室内はこちらの方が大きいです
[len012_165] それはつまり、着替えも簡単にできるということでしょうか？
[len012_166] そこは少し大変でした
[len012_167] 旅館の従業員は、掃除の時間に温泉に入ることができるのですが……最初は口から火を吹きそうでした
[len012_168] おお、ありがとうございます。とにかく誰かと一緒に裸で入るのは、とても恥ずかしいです
[len012_169] もちろん女の人でもです
[len012_170] 日本の方は、恥ずかしくないのですか？
[len012_171] 圧倒……でありますか？
[len012_172] あ、いえ！確かに苦手なんですが、嫌ではありませんよ
[len012_173] それに、裸のお付き合いをするものでありましょう？
[len012_174] こんな風に、一緒にお風呂に入れる友達ができて、わたしはとっても嬉しいのですよ
[len012_175] おー……あれですか
[len012_176] ヘーキですよ。お礼を言われるようなことではありませんので
[len012_177] これでよかったんです。お祖父ちゃんもご先祖様も、そう言ってくれます
[len012_178] きっとわたしは友達を助けるために、欠片を日本に持ってきたのだと思います
[len012_179] ですから有効活用して下さい。それが一番ですよ
[len012_180] それよりも、大変でありましたね。今までずっと、あんなモンスターと戦っていただなんて
[len012_181] マコも怪我をしているのですよね？
[len012_182] なにかあれば、いつでも頼って下さい
[len012_183] ムラサメちゃんも。わたしでも力になれることがありましたら、いつでもどうぞ
[len012_184] ヨシノとですか？
[len012_185] あははははは
[len014_001] んぅ……
[len014_002] いえ、それはヘーキでありますが
[len014_003] ここにいると、耳鳴りがします。そんなにひどくはないのですが……
[len014_004] 乗っ取られた？よくわかりませんが、ヨシノは乗っ取られてしまうのですか？
[len015_001] ごめんくださいませー
[len015_002] どうかしたではありません！
[len015_003] 昨日の夜、連絡が来なくてとても心配したのです！
[len015_004] たとえそうでも、メールぐらいは残して欲しかったのであります
[len015_005] それで、マサオミたちはまだ寝ているのでありますか？
[len015_006] どうしたのでありますか、マサオミ？ため息なんて吐いて
[len015_007] 昨日のお祓いは、上手くいったと聞いたのですが……？
[len015_008] まだ欠けているようですね
[len015_009] そうであります。残りはあと一つなんですよ
[len015_010] 本当に今さらでありますねー
[len015_011] 今日はヘーキですよ。順調快調絶好調であります
[len015_012] ちなみにこれは、もう昨日のように点滅したりしないのですか？
[len015_013] 昨日のは、呼びかけでしたよね？
[len015_014] では『呼びかける必要がないほど近くにある』ということではありませんか？
[len015_015] ところで、ヨシノやマコはいないのですか？
[len015_016] おはようございますですよ、ムラサメちゃん！
[len015_017] 準備？
[len015_018] 頑張って下さい、マサオミ
[len015_019] おめでとうございます！
[len015_020] それは、わたしもでありますか？
[len015_021] そう言ってもらえるのは大変嬉しいですね、ふふふ
[len015_022] わたしも、皆さんと出会えて嬉しいです！これからも、よろしくお願い致しますね
[len015_023] ………？戻るとはどういうことでありましょうか？
[len015_024] そうなのですか、マサオミ？
[len015_025] では、マサオミは穂織から去ってしまうのでありますか？
[len015_026] それはとても寂しいのでありますよ。……
[len101_001] なるほど、お寺と戦うのが白面武士……っと
[len101_002] もしやワサビでありますか？
[len101_003] ………？
[len102_001] マサオミー
[len102_002] 今から帰るところですか？
[len102_003] これから夕食や布団の準備で大忙しになりますので。力を溜めているところでありますよ
[len102_004] はい。女将にも褒めてもらえる必殺の床上手ですよ
[len102_005] おう、そうでした
[len102_006] 用事があるのは私ではないのです。少々、ここでお待ちを
[len102_007] マサオミのことを、ここでずっと待っていたのでありますよ
[len102_008] その姿を見た女将が、待つなら中でどうぞ、と案内を
[len102_009] すれ違いにならなくてよかったですね
[len102_010] 了解でありますよ
