=== ren (ren) 剧情配音文本 ===
共计 983 句台词

[ren001_001] うん？なんだ、芦花姉
[ren004_009] 新婚の甘い同棲生活はどうよ？
[ren004_010] そりゃな。だってお前が巫女姫様の家でお世話になるなんて、どう考えても変じゃん
[ren004_011] 祖父ちゃんのところが難しければ、普通は俺らの家に来るだろ？
[ren004_012] まさか。巫女姫様が婚約なんて話になったら、もっと話題になってるって
[ren004_013] 俺と小春。あと……芦花姉も知ってるんじゃないかな？御神刀を折ったときにその場にいたから
[ren004_014] 口外するなって言うんだろ？祖父ちゃんからも言われてる
[ren004_015] そうは言っても、時間の問題のような気もするけどな。田舎の噂なんてアッという間に広まるから
[ren004_016] まあな
[ren004_017] で？どうなのよ？新婚生活の方は
[ren004_018] 生傷って……背中に爪痕？それとも肩に歯型とか？ひゅ。、やる。
[ren004_019] なに？反応鈍いな
[ren004_020] あ、そう？でもマジで気になる！
[ren004_021] 嫌われてるわけじゃないなら、よかったじゃないか
[ren004_022] なんだ？
[ren004_023] どうだろうな？まあ、歳が歳だから老いはあるだろうけど……毎日元気に歩き回ってるしな
[ren004_024] 体調を崩しやすくなったとも聞かない。歳の割には元気。つまり特に衰えた様子はない
[ren004_026] ………？
[ren004_027] わかりましたー
[ren007_001] んなわけないだろ。出るならもっと噂になって、宿をたたんでるっつーの
[ren007_002] 子供の頃から出入りしてるけど、一度も見たことないぞ
[ren007_003] これからそういう人も増えるんじゃねーの？外国からの客も増える一方だしよ
[ren007_004] ……なーんか楽しそうだなぁ
[ren007_005] お前、祖父ちゃんに言われてあの子を案内したんだよな？
[ren007_007] もし案内させてくれたら、今頃は……
[ren007_008] あ、やっぱその件、まだ持ち出されてる？
[ren007_009] マジかー……
[ren007_010] そうだといいんだけどなぁ……
[ren007_012] 違う、誤解だ。俺は決して二股はかけてない。アレは尾ひれが付いてるだけ
[ren007_013] それは……だな……
[ren007_014] 言っとくけど、本当に二股じゃないからな！時期は被ってないからな！
[ren007_015] 気付いたら俺だけが悪者になって、学院中の女子から毛嫌いされてたんだ
[ren007_016] 時期は被ってないから大丈夫だと思ったんだよ……
[ren007_017] いやいや、俺だって反省したんだぞ？
[ren007_018] 修羅場を作らないために、外からの観光客だけを相手にするようにした
[ren007_019] ……うっ、それは……
[ren007_020] 確かにそうかも……
[ren007_021] ……はぁ……あんなに可愛い女の子を目の前にしながら、何もできないとは
[ren007_022] してるって！
[ren007_023] お前ら、本人を目の前にしてよく言えるなー
[ren007_024] 俺よりよっぽど失礼だと思うぞ？
[ren007_025] 俺も戻らないと――
[ren007_026] お。い将臣、昼飯食べようぜ
[ren007_027] 頼むから、その噂を鵜呑みにするのは止めてくれ！
[ren007_028] え？そうなの？
[ren007_029] ……祖父ちゃんから……
[ren007_030] ロクな話じゃないんだろうな
[ren007_031] うるせい。もういい、とにかく飯だ、飯
[ren007_032] レナちゃんは？お昼どうするの？
[ren007_033] そうだよ。この学院、購買はあっても学食はないから
[ren007_034] たまに家まで食べに帰る奴もいるけど、さすがにそれは面倒だから
[ren007_035] よければ一緒に食べる？
[ren007_036] ただ一緒に昼飯食べるだけだっつーの！２人っきりってわけでもないし！
[ren009_001] あー！しまった！
[ren009_002] いや、弁当を忘れてきた……
[ren009_003] それは勘弁。そんなことしたら、昼飯を食べる前に胃がひっくり返る
[ren009_004] 今から行ってもコッペパンしかないだろうな……
[ren009_005] 今日の午後は、空腹に耐えるしかないか……はぁ……
[ren009_006] マジか……助かる
[ren009_007] おっと、悪い
[ren009_008] って、なんだ小春か
[ren009_009] え？それってまさか……
[ren009_010] マジか！？助かったぁ。。さすが小春、ういやつよ
[ren009_011] よし食おうぜ、将臣！
[ren009_012] え？俺も待つの？
[ren009_013] えー。家で顔合わせてるから、待つほどの価値はないんだがなー
[ren009_014] そうかー？あいつ、生意気ばっかりでムカつくぞ？
[ren009_015] そりゃまあ、そうかもしれんがな
[ren009_016] お前もしかして教室に居場所ないの？友達いないの？
[ren009_017] じゃあ兄とご飯が食べたかったとか？
[ren009_018] あ、俺も俺も！一緒に食べようぜ、レナちゃん！
[ren009_019] お前も聞いただろ、祖父ちゃんのところで新しく働くことになった子だよ
[ren009_020] 褒め言葉だろ。そういうのはノリだ、ノリ
[ren009_021] そりゃもちろん
[ren009_022] 俺たちは“巫女姫様”って呼び方が身体に馴染んでるから
[ren009_023] ……いいなぁ、こういうの。すごくいい
[ren009_024] お前さ、こっちに来てから巫女姫様と一緒にすごしてるんだよな？
[ren009_025] 背中に爪痕とまではいわなくとも、少しぐらいは進展しただろ？どこまで行ったんだよ？
[ren009_026] その鈍い反応……もしかしてまだ何もしてないのか？
[ren009_027] かーッ。お前そんなくだらないこと考えてちゃダメだろ
[ren009_028] っていうか……正直、あんな可愛い子と一緒にいて欲望はないわけ？
[ren009_029] それはまあな。なんせ巫女姫様だもんなぁ
[ren009_030] お前、溜まったときどうしてんの？他人様の家なのに
[ren009_031] 女の子はおかずのやり取り。俺たちもオカズのやり取り
[ren009_032] でも重要な事だぞ。もし暴走してしまったら、色々大変だろう
[ren009_033] それにお前、さすがにそっちのオカズまでは持ってきてないんじゃないのか？
[ren009_034] コンビニぐらい？穂織ってエロ関係も全然だから
[ren009_035] むしろ家族連れ向けに、エロを排斥する動きすらあるぐらいだ。若い男にゃ住みづらい土地だよ
[ren009_036] 通販を頼んでも最速で２日はかかるしな
[ren009_037] 仕方ない。俺がひと肌脱いで、秘蔵コレクションを貸して進ぜよう
[ren009_038] 興味ないなら無理にとは言わないけど
[ren009_039] お前もちゃんと男だな
[ren010_001] うわー……本当にトレーニングしてるのかよ、あの将臣が
[ren010_002] 祖父ちゃんから、お前が剣道の練習を再開したって聞かされてさ
[ren010_003] しかも自分から練習を頼み込んだってんだから、さらに驚き
[ren010_004] こりゃ確認するしかない！ってことでな
[ren010_005] 半分はな。残りの半分は……強制だ
[ren010_006] おかげでいい迷惑だよ……せっかく今日は休みだってのに
[ren010_008] まさか将臣からそんな言葉を聞かされるとはな……
[ren010_009] でも何のために練習なんて再開したんだ？
[ren010_010] 身体、どっか悪いのか？
[ren010_011] にしては、かなりハードなメニューだと思うけどな
[ren010_012] なんだよ、午後のトレーニング。切り返しに１時間とか。健康のためってレベルじゃないぞ
[ren010_013] 相変わらず、祖父ちゃんはスパルタなんだなぁ
[ren010_015] うぃーっす！
[ren010_016] うっぷ……横っ腹、いてぇ……
[ren010_017] うぃーーっす！！
[ren010_019] は、はぁ、はぁあ、ありがとう……ございましたはぁ、はぁ、はぁ
[ren010_020] もうダメ、マジ無理ぃ……目の前チカチカしてきた
[ren010_021] お前、よくこんなメニューを毎日こなしてるなぁ
[ren010_022] ったく、昔よりも真面目に取り組んでるんじゃないのか……？
[ren010_023] ゴメンだね。やってられるか、こんなの
[ren010_024] こんなもん、飯が美味いどころか吐くっつーの！
[ren010_025] 今日が土曜でよかった。平日だったら学院をサボってるところだったぜ
[ren010_026] ぷはっ、はぁー……生き返ったぁ
[ren010_027] そういえばお前、今日はどうしてる？
[ren010_028] うげっ……マジでやるのかよ。たまには休んだ方がいいんじゃないの？
[ren010_029] 毎日ハードなことしてたら、逆に身体を壊すぞ
[ren010_030] それでも素振りと足さばきはするんだ……？
[ren010_031] お前も大変だなぁ……。ま、祖父ちゃんに頼む時点でこれぐらいは覚悟してただろうけど
[ren010_032] で、遊びに行かない？祖父ちゃんの許しもでたことだしよ
[ren010_033] 決めてないけど、午後は俺も暇を持て余してるから
[ren010_034] とりあえず、あとで“田心屋”に集合ってことでどうだ？
[ren010_036] この和気あいあいとした雰囲気は一体……常陸さんに巫女姫様まで……
[ren010_037] なにがどうなってるんだ？
[ren010_038] 巫女姫様と常陸さんも一緒に？
[ren010_039] そりゃもちろん
[ren010_040] いやいや、むしろ嬉しい限りですよ！
[ren010_041] それにレナちゃんも、その服初めて見るけど可愛いよ、ヤバいよ
[ren010_042] ああいや、いい意味でね。ヤバいぐらい似合ってるってこと！
[ren010_043] 凄まじく可愛いね、雰囲気も変わっていいよ。意外と和服もいけるね
[ren010_044] 白い和服に金色の髪の毛が映えるっていうのかな、可愛すぎて見惚れたよ
[ren010_045] いや、マジでマジで。からかってないってば。ヤバいから、マジでヤバいぐらい可愛い
[ren010_046] まさかこんな展開になるとは……今日は楽しい一日になりそうだ
[ren010_047] なんだよ、何か用事か？
[ren010_048] あ、もしかして『お兄ちゃんを取られちゃうかもっ』って嫉妬してる？
[ren010_049] わかってるよ。さすがに変なことなんてしない
[ren010_050] お前、仕事中だろ？ちゃんと働け。しっしっ
[ren010_051] だからお前は仕事中だろ
[ren010_052] 確かに。それじゃあ……
[ren010_053] あ、久々に山で釣りでもするか？
[ren010_054] 温泉があるから川の水温も高めで、この時期でも魚が釣れるんだ
[ren010_055] むしろ夏になると水温が高くなりすぎて、魚の数が少なくなるぐらいだ。お前も久しぶりだろ？
[ren010_056] なんだ？釣りの気分じゃないか？
[ren010_057] あ、そうだ。だったら巫女姫様
[ren010_058] バケツを貸してもらえません？あと、のこぎりか……鉈があれば一緒に
[ren010_059] レナちゃんの地元って釣りはするの？
[ren010_060] へー。そんなに？
[ren010_061] そりゃすごい！
[ren010_062] 針と糸はちゃんと用意してきた
[ren010_063] ふふふ……それはもちろん、ここに
[ren010_065] 現地調達
[ren010_066] いや、別に下ネタじゃなくて！鉈を借りたのはそのため！
[ren010_067] つーか、将臣が背負ってるのは、もしかして釣竿？
[ren010_068] そうじゃなくて。ちょっと待ってて下さいね
[ren010_069] あとは竹の先に釣り糸を括り付けて、針も結んで……ほい、完成っと
[ren010_070] もっとちゃんとした釣り道具は沢山あるよ
[ren010_071] でもお遊び程度で、道具にこだわりを持ってるわけでもなければ、これで十分
[ren010_072] 心配するな。こんなお手製でも、俺は山女魚とか釣ったこともあるぞ？
[ren010_073] 平気平気、穂織に住む人間には開放されてるからな
[ren010_074] 釣りにタケノコ掘り、山菜摘み。さすがにマツタケは生えてないけどな
[ren010_075] 祖父ちゃんだって山を持ってるぞ？なんか……椎茸とか育ててた
[ren010_076] でも別に金持ちなんて言うほどじゃないだろ？
[ren010_078] 多少はなー。でも大差ない。こんな不便な土地だぜ？
[ren010_079] もし高値が付くようなら、手放す人も増えて、もっと揉めてるだろうよ
[ren010_080] さて、釣竿も用意できたことだし、川まで下りますか
[ren010_081] いるよ。ところどころ深いところもあるから。ほら、泳いでる影が見えるでしょ？
[ren010_082] 子供が溺れるぐらいの深さはあるからね、一応。だよな、将臣
[ren010_083] 小学校に上がった頃かな？
[ren010_084] 川で遊んでたら、足がつったとかで溺れちゃってさ。子供でも普通に足がつく場所だったんだけどね
[ren010_085] 芦花姉が一緒にいてくれて、なんとか
[ren010_086] 俺と小春だけだったら助けられなかった可能性もあったんだよ
[ren010_087] 確か……前歯を折っちゃったんだ。で、折った前歯や川底の石を水と一緒に飲み込んで、さらにパニックになって
[ren010_088] あの時は本当に大変だったな、あははは
[ren010_089] とにかく、同じ過ちを繰り返さないように気をつけろよ？引き上げるの面倒だから
[ren010_090] そんな拗ねるなって。男が拗ねても可愛くないぞ
[ren010_091] ほら、スカンポ食う？
[ren010_092] この竹みたいな植物のこと。中が空洞で茎を折るとポンッて音がするんだ
[ren010_093] 美味しいかと訊かれると……正直微妙？
[ren010_094] そうそう。見かけると、つい食べたくなったりして
[ren010_095] あむあむ……小春だって生で食べてたよ？
[ren010_096] 懐かしい味だよなー
[ren010_097] そもそも、スカンポって料理できるのかな？塩かけるぐらいは聞いたことあるけど
[ren010_098] 生以外の食べ方なんて、初めて知った
[ren010_099] 食べてると、それが癖になってくるんですよー
[ren010_101] シゲさんなら作ってくれるんじゃないか？
[ren010_102] そういうことなら釣った魚も持って帰ればいいよ。多分、何匹かは釣れると思うから
[ren010_103] 若干下ネタに聞こえなくもないな
[ren010_104] お前はどうする？
[ren010_105] なあなあ、巫女姫様には俺が教えてもいいか？
[ren010_106] なにその目。信用なさ過ぎて傷つくわー
[ren010_107] 変なことはしない。これを機に、ちょっと話をしてみたいだけ
[ren010_108] 巫女姫様と遊びに行けるなんて、滅多にあることじゃないからな
[ren010_109] えー……なんで？
[ren010_110] ちぇっ……ケチー……
[ren010_111] ま、いいけどな。お前は一応、婚約者なわけだし、レナちゃんとも仲良くなりたかったしな
[ren010_112] じゃあレナちゃん、俺が竿の使い方を教えて進ぜよう！
[ren010_113] わーってる。手を出したりしないって
[ren010_114] 今日は純粋に遊ぶだけ。祖父ちゃんに頼まれたことだしな
[ren010_115] おう
[ren010_116] じゃあ俺たちはアッチで釣ろうか、レナちゃん
[ren010_117] もちろん。さすがの俺も、巫女姫様に変なことできないって
[ren010_118] そんなことしたら、クラスの中だけじゃなく町中で村八分だ。下手すりゃ家族からも
[ren010_119] おう
[ren010_120] では巫女姫様、さっそく釣りを始めましょうか
[ren010_121] じゃあ俺は、巫女姫様と一緒に釣りだな
[ren010_122] お前まで小春みたいなこと言うのかよ……。少しは俺を信用しろって
[ren010_123] さすがに巫女姫様に失礼なことするわけないだろ
[ren010_124] いえ。まず餌のミミズを取って、針につける必要があります
[ren010_125] へ？もちろん俺は構わない……っていうか大歓迎だけど、お前は？
[ren010_126] ……なんだ、トイレか。そんな遠回しな言い方しなくても、子供じゃあるまいし
[ren010_127] 何だよ、気持ち悪いな
[ren010_128] 小春もお前も、本当に俺の事信用してないよな
[ren010_129] さすがに巫女姫様に、ちょっかい出したりしないって
[ren010_131] そりゃ仲良くなりたいとは思ってるから、話しかけたりはするけど
[ren010_132] それぐらいで、目くじらを立てたりはしないだろ？
[ren010_133] おいおいなんだ、やけに恥ずかしがると思ったらデカい方か
[ren010_134] 頼むぜ。、臭ってくるようなところでするなよ。？
[ren010_135] いやー、今日はいい一日だった
[ren010_136] 途中まで送っていくよ
[ren010_137] あ、ああ……
[ren010_139] やっぱ、全然脈がなさそうだな……はぁぁ……。俺も帰ろ
[ren012_001] 入るぞー
[ren012_002] お、なんだ、ちゃんと起きてるじゃないか
[ren012_003] にしても、お前こっち来てから怪我ばっかりだな
[ren012_004] まさか怪我を治すための診療所で、怪我をするとはな
[ren012_005] で、最後に俺のお見舞いだ
[ren012_006] まあまあ、そう言うな
[ren012_007] でもビビったぞ。将臣だけじゃなく、巫女姫様や常陸さんまで休むんだから
[ren012_008] さっき話した感じだと、元気そうで安心したけどさ
[ren012_009] 地震が起きたわけでもないのに
[ren012_010] 必要ないって。巫女姫様と一緒に暮らすなんて幸運に恵まれてるんだから、プラマイ０になったってだけだって
[ren012_011] というか……今さらだけど、レナちゃんはここにいて大丈夫なの？
[ren012_012] いつもは旅館の仕事があるからって、授業が終わったらすぐに帰ってるじゃん？
[ren012_013] 『せ』と『そ』は醤油と、ソースだよ
[ren012_014] あれ？そうだったっけ？
[ren012_015] そんなにか？
[ren012_016] しゃーない。ここはいっちょ俺が一肌脱ぎますか
[ren012_017] もちろんよ。今時料理ぐらいできなきゃ女にモテないからな
[ren012_018] 俺は頭よりも身体で覚えるタイプなの。知識じゃなくて実践派なの
[ren012_019] 少なくとも小春より上手いぜ。こいつ不器用だからさー
[ren012_020] 何にしろ、基本はシゲさんに仕込まれてるってことだ
[ren012_021] ほー。じゃあその実力を見せてもらおうか
[ren012_022] よし。頑張りますか
[ren012_023] 上手ッ！？
[ren012_024] やっぱ海外はすげーんだなー
[ren012_025] なんだ、床上手ってそういうことか
[ren012_026] いや、機会があればまた
[ren012_027] ほら、お昼のお弁当とかならいつでもＯＫだから
[ren015_002] 考え事？
[ren015_003] 珍しいな。ま、ここで会ったのも何かの縁だ。話ぐらいなら聞いてやろうか？
[ren015_004] な、なんだよ……妙にスッキリした顔して。ちょっと不気味だぞ？
[ren015_005] はぁ？もう閉まってるよ
[ren015_006] 遊びたいって……まあいいけどさ
[ren015_007] 今日のお前、本当に不気味だぞ……？
[ren101_001] おーい？
[ren101_002] おい、ってば
[ren101_003] 何言ってんだよ。もしかしてお前、授業が終わってること気付いてないの？
[ren101_004] どうしたんだよ？授業でわからないところがあった……とかじゃないよな？
[ren101_005] 朝からトレーニングのし過ぎじゃないのか？
[ren101_006] もしかして、何か悩んでる？
[ren101_007] よろしい。何か悩みがあるならば、俺が相談に乗ってやろうではないか
[ren101_008] なんだよ、その素っ気ない態度
[ren101_009] 少なくともお前よりは、酸いも甘いも噛みしめたことあるんだぞ！
[ren101_010] 火消しのコツなら任せろ
[ren101_011] 人は失敗から色々学ぶもんさ。何か悩み事だろ？言ってみろって、ほら！
[ren101_012] どうしたよ？なんでもいいんだぞ？
[ren101_014] バカ言うな。従兄弟が悩んでるんだとしたら、力になりたいだけさ
[ren101_016] だってお前、やっぱり気になるじゃん！　巫女姫様の好きな相手とかさー
[ren101_017] 若い男が他になにを考えんだよ？
[ren101_018] ほらみろ
[ren101_019] まっ、教室じゃ話しにくいこともあるだろうから、いいけどさ
[ren101_020] その気になったときは、俺はいつでも話を聞くからな
[ren101_021] それ、確か常陸さんが作ってるんだよな？っていうか巫女姫様の分も
[ren101_022] 巫女姫様って料理できない人？
[ren101_023] ふーん、意外だな、それこそ常陸さんがやりそうなものなのに
[ren101_024] どうした？
[ren101_025] なんだ？
[ren102_002] さっきからどうしたんだ？　変だぞ、お前
[ren102_003] 真剣な顔で弁当を食べたかと思えば、いきなり頬を緩ませてバカ面に、かと思えば真剣な顔に戻る
[ren102_004] 見てて不気味なんだけど。怪しい薬でも入ってるのか？その弁当
[ren102_005] ほーう、なら顔が緩むほど美味いのか？どれ、俺も試しに
[ren102_006] あ、じゃあこっちの小松菜を……
[ren102_007] ぶーぶー
[ren102_008] はぁ……わかったわかった。なら肉団子とトレードでいこうじゃないか
[ren102_009] 質問一つにつき、おかず一品
[ren102_010] 躊躇ないな！わかった。条件は付けたりしない
[ren102_011] で、なんだよ？
[ren102_012] そりゃ聞いたことぐらいならな。全部じゃないけど、多少は具体的な内容も耳にしたことがある
[ren102_013] まさか。そりゃ地元民の俺たちからすれば“巫女姫様”ってのは特別だけどさ
[ren102_014] 一歩外に出れば、普通の神社の１人娘だぜ？いくら由緒正しい血筋とはいえ
[ren102_015] お前が想像してるようなのとは違うって
[ren102_016] 大体、巫女姫様にも恋愛の自由はあるんだぞ？
[ren102_017] 過度なしがらみを生むような相手とは、見合いの話を組んだりしないはずだ
[ren102_018] でもまあ、大物ってことなら……どこぞの議員の息子とかって噂を聞いたこともあるな
[ren102_019] あと、どっかの不動産だか建築関係だかの会社の御曹司とか？
[ren102_020] 肩書きだけはな。議員は地盤固め、御曹司はここいらの開発に関わりたいだけ
[ren102_021] そんな見え見えの下心のある相手は、巫女姫様の耳に届く前に弾かれる
[ren102_022] ま、諦めきれずに、巫女姫様に直接写真を渡そうとする輩もいるらしいけど
[ren102_023] 本人に持って行ったところで、にべもなく一蹴だってさ
[ren102_024] 基本的には町の顔役の親類縁者とか。変な下心のない、信頼のおける人ばっかりだってさ
[ren102_026] おい、事実だからって何でも言っていいと思うな
[ren102_027] いつか声がかかるかなーって思ってたのに、全然声がかからなかった俺の寂しさを少しは慮れ
[ren102_028] そんなんだから、細かいことまでは俺も知らないけど……断ったのはかなりの数だぞ
[ren102_029] なんせ断り過ぎて『男嫌いで結婚する気がないんじゃないか？』って噂されるぐらいだからな
[ren102_030] だから叢雨丸を抜いたとはいえ、お前が婚約者になれたことには驚いた
[ren102_031] いや全く。相手の条件問わず。写真すら見ずに断ってたらしいぞ
[ren102_032] だから男嫌いなんて噂が立ったんだよ。教室で話す分には普通だから俺たちは信じてなかったけど
[ren102_033] 『男は恋愛対象じゃないのかも？』なんて話も……ああ、もちろん冗談半分で誰も本気じゃないからな
[ren102_034] で？今更どうした？そんなこと気にするなんて
[ren102_035] なにその中途半端な反応
[ren102_036] なんだ？巫女姫様のことが本気で好きにでもなったか？
[ren102_037] 誰も聞いちゃいないって
[ren102_038] なんでも何も……隠してるつもりだったの？
[ren102_040] むしろ、今さらなにを悩んでる？　って感じだけどな
[ren102_041] これだからお子ちゃまは……やれやれ
[ren102_042] で、ようやく考える余裕ができて、自分の気持ちを持て余してるのか
[ren102_043] それを持て余してるっていうんだろうが
[ren102_044] もしかして仲悪いのか？
[ren102_045] ほー。そいつは興味深い
[ren102_046] 巫女姫様って話しかければ返事はしてくれても、それ以上は拒絶……っていうのかな？壁を感じさせるんだよ
[ren102_047] 俺たちだって、ずっと同じ教室で学んできたんだぞ？でも……友達とすら呼べない気がする
[ren102_048] だからな、いつかの休みのときは本当に驚いた
[ren102_049] 巫女姫様が誰かと遊ぶなんて話、初めてだったから。しかも、あんなに楽しそうにして
[ren102_050] お前があの鉄壁を攻略するとはなぁ……
[ren102_051] いや……もしかしたらお前だからこそ、壁を超えられたのかもな
[ren102_052] 純粋無垢ってことだよ。よかったなー、今までしっかり童貞守り続けてきて
[ren102_053] 褒めてないからな
[ren102_054] ちなみに……まさかとは思うけど、初恋じゃないよな？
[ren102_055] もしかして、本気で結婚する覚悟なの？
[ren102_056] そうだなー……俺たちはまだ学生で、親のすねをかじって暮らしてるもんなー……
[ren102_057] でもとりあえず、プロポーズの前に告白だろ？
[ren102_058] 言わなきゃ伝わんないだろ
[ren102_059] そん時はそん時だよ。大体告白は一回限りってわけでもないだろ。恋愛はポジティブに考えた方がいいぞ
[ren102_060] 重要なのはタイミングだな。タイミングを外すと、本来ならＯＫされたはずが……って可能性もある
[ren102_061] ここだ、と思ったら逃げないこと
[ren102_062] まあ、何事にも例外はあるけど。わかりやすく言えばイケメンな、イケメン
[ren102_063] 人が必死に外堀埋めてるところにいきなりイケメンが現れてかっさらわれたことが何度あったか……ッッ
[ren102_064] イケメンならナンパも素敵！下ネタだって好意的！イケメンだと表現の自由で、なんで俺だとセクハラなんだよ！死ね！
[ren104_001] 来たか！
[ren104_002] いいから早く、こっちに！
[ren104_003] それでは、当事者のお２人が揃ったところで、始めさせていただきます
[ren104_004] まず、質問のある方、挙手をお願いできますか？
[ren104_005] えー……では、そちらのアナタ
[ren104_006] そりゃお前、巫女姫様と結婚するなんてことになったら、町の人間に説明ぐらい必要だろう
[ren104_007] というか……巫女姫様は大丈夫なのか？さっきから呆然としてるけど
[ren104_008] 突然だったのは、むしろ結婚報告の方だったんだけどねー
[ren104_009] 俺も人伝に聞いただけだけど、何でも安晴さんが嬉しそうに言いまくってるんだって
[ren104_010] 『ついに娘にも好きな人が出来た』って……大はしゃぎらしい
[ren104_011] 『その話に間違いはないのか！？本人がそう言ったのか！？』って、親から連絡が来たんだよ
[ren104_012] ずっとお見合いに興味がなかった分、大人連中が湧きあがっちゃって
[ren104_013] 著名人であることには違いない。ま、この町限定ではあるけど
[ren104_014] あと……角のタバコ屋の婆ちゃんが、夕方巫女姫様が男と手を繋いで歩いてた、なんて話もあってな
[ren104_015] でもあの婆ちゃん、確か……１００歳前後だからさ
[ren104_016] ついに呆けたか、とか。目が悪くて見間違いだろう、みたいに笑ってたんだけど
[ren104_017] 実は他にも噂があって、常陸さんの買い物がここの所、いつもより１人分多いんじゃないか？ってな
[ren104_018] その謎がついに解けたってことで、今町中で大騒ぎだ
[ren104_019] あ、言っとくけど、別に俺が企画したわけじゃないぞ？
[ren104_020] 親からの連絡がみんなにきて、大騒ぎになったんだ
[ren104_021] それなら、会見形式にしてまとめた方がいいんじゃないかってことになってさ
[ren104_022] あくまで俺は司会進行を任されただけ。ま、実際こうするのが一番手っ取り早いとも思ってさ
[ren104_023] そういうこと。てなわけで――
[ren104_024] では会見を再開させて頂きます。では……そちらのアナタ
[ren104_025] そうだな。あの話が本当であることはもう確認できた
[ren104_026] というわけで、本日の会見はこれにて終了とさせていただきます
[ren104_027] 付き合ってまだ２日目なんだから、これ以上つついたってなにも出やしないって
[ren104_028] はいはーい。オチもついたところで、会見は本当に終了
[ren104_029] というわけで、みなさん。それでは最後に盛大な拍手をお願いします
[ren105_001] あん？なんだよ、いきなり？
[ren105_002] 童貞乙！
[ren105_003] そりゃもちろん！
[ren105_004] というか、なんなんだ？飯時に下ネタはやめろって言ってたのはお前だろ？
[ren105_005] お、おう……わかった。わかったから、身を乗り出すな。近い近い……
[ren105_006] そこまで？
[ren105_007] 初デートかぁ……
[ren105_008] マジかよ……都会で暮らしてたらエビデイパーリィーじゃねぇのかよ？
[ren105_009] で……初デートでどこまでいっていいのか……？
[ren105_010] う。ん……どうだろうなぁ。ぶっちゃけナンパは次の機会があるかどうかもあやしいことが多い
[ren105_011] 多少強引にでも、イケるとこまでイクのが鉄則だからな……
[ren105_012] するかよ！『どうしよう？』って悩んでる時に、多少強引にいくだけ
[ren105_013] 本気で嫌がってたら、ちゃんと距離は保つからな
[ren105_014] まー、俺はナンパがベースだけど、やっぱり巫女姫様でも、同じようなもんじゃないの？
[ren105_015] 重要なのはその場の雰囲気
[ren105_016] 強引すぎることはしない。でも、卑屈になって距離を取り過ぎることもしない
[ren105_017] あとは、そうだな……実際問題、お前はどこまで持って行きたいんだよ？
[ren105_018] 目標があるなら、逆算でどうすればその目標を達成できるのかを考えた方がいいんじゃねーの？
[ren105_019] で？お前は、実際どこまで持って行きたいんだ？確か……抱きしめてはいるんだよな？
[ren105_020] おっぱいはいいのか？
[ren105_021] それはいい判断だ
[ren105_022] どうって……恋人としてデートしてりゃ、キスぐらい普通に１度や２度、タイミングが来ると思うが……
[ren105_023] キスしてもいい？とか童貞臭い確認はするなよ？
[ren105_024] そういうのは、言葉じゃなくて雰囲気で確認するもんだよ
[ren105_025] そんなもん、目を合わせてゆっくり顔を近づけるだけだよ。嫌なら拒否するだろうし、嫌じゃなければ向こうも受け入れる
