=== gen (gen) 剧情配音文本 ===
共计 670 句台词

[gen001_002] む
[gen008_002] ちゃんと意味があったのならよかった
[gen008_003] だがな、勘違いしてはいけないのは――
[gen008_004] 驕っていないのならばいい。では今日も始めるか
[gen010_001] お前もたるんでいる。毎日参加とまでは言わんが、たまには朝の鍛練に参加しろ
[gen010_002] ２人とも、いつまでグダグダ言っているんだ。そろそろ始めるぞ
[gen010_003] 廉太郎！そこで寝るな、ちゃんと最後まで走らんか！
[gen010_004] だから休むな、廉太郎！！
[gen010_005] 廉太郎！！！
[gen010_006] では、今日はこれまで
[gen010_007] お前は起こりがあるから分かりやすい
[gen010_008] 打ちたいという気が急いて、次の動作が丸見えだからな
[gen010_009] そうだな……そんな日があってもいいかもしれんな
[gen010_010] 今日は足さばきと素振りだけで、軽めに終わらせてもいいかもしれん
[gen010_011] 基礎の基礎だ。毎日続けてしっかり土台を固めねばならん
[gen010_012] そうだ。そういうことならば、一つ頼みがあるんだが――
[gen101_001] 結局、鍛練は続けるということでいいんだな？
[gen101_002] わかった。では今後もビシバシ行くぞ
[gen101_003] お前がそこまで本気になってくれて、ワシは嬉しいぞ……くぅ……
[gen101_004] しかしその前に……将臣
[gen101_005] お前には本当に迷惑をかけた。すまなかった
[gen101_006] 叢雨丸に選ばれたとはいえ、怪我をさせたりと……ワシは孫であるお前を――
[gen101_007] そうか……。うむ、そうだな
[gen101_008] 謝罪を受け入れてもらうよりも、お前に感謝をしてもらえる方がワシとしても喜ばしい
[gen101_009] お前には本当に感謝している、将臣。ありがとう
[gen101_010] そうだな、わかった。ではやるか！
[gen101_011] たまには朝から手合わせをしてみるか、将臣！
[gen101_012] お前の成長を、ワシに実感させてくれ！
[gen101_013] きえぇぇぇぇぇぇぇぇぇ！
[gen101_014] ところで将臣、鍛練を続けるという事は、ここに残ることに決めたのか？
[gen101_015] そうか
[gen101_016] で、巫女姫様との結婚の件はどうするつもりか、決めているのか？
[gen101_017] それはお前と巫女姫様で決めればいい
[gen101_018] 正直に言えば、お前で大丈夫かという不安はもちろんある
[gen101_019] だがな、最近のお前の頑張りを見ていると、心配は要らぬのではないか……とも思うようになってきた
[gen101_020] 鍛練を投げ出すことなく続けた。真面目に取り組んでいるのも、当然わかっている
[gen101_021] 今のお前になら、ワシがとやかく言う必要はないだろう
[gen101_022] お前には多大な迷惑をかけた。これ以上ワシらの都合に振り回すつもりはない
[gen101_023] 結婚せずに都子のところに戻るならばそれでいい
[gen101_024] もし２人の間に、まあ、そのなんだ……そういう意志があるのならば、結婚すればいい
[gen101_025] だがな、婚約を解消してもあそこでお世話になり続けるというのは、さすがに話が違う
[gen101_026] 今日明日中に決めろとは言わぬが……ケジメだけはきっちりつけるようにな
[gen101_027] 巫女姫様！？今日は、どうされたのですか？
[gen101_028] そうなのですか？
[gen101_029] 邪魔だなんてそんなことは決して！納得行くまでご見学下さい！
[gen101_030] 将臣、これは一体どういうことだ？
[gen101_031] そうか。ならばいいが……
[gen101_032] 何か配慮した方がいいというわけでもなく、いつも通りでいいんだな？
[gen101_033] わかった
[gen101_034] では巫女姫様、鍛練は公民館で行いますので移動致します
[gen101_036] 腰が遅れて手だけで打っているぞ！　そんなことでは――ぃぃぃぃぁああ！
[gen101_037] 楽な方に逃げるな！
[gen101_039] ぜぇ……ぜぇ……ぎょ、今日はっ、ごれまで……
[gen101_040] なっ、なんのなんの、これぐらい
[gen101_041] で、では戻りましょうか……ぜぇ……ぜぇ……
[gen101_042] いえ、この程度。興味がありましたら、またいつでもいらして下さい
[gen101_043] それでは巫女姫様、ワシはこれで失礼します
[gen101_044] 痛み入ります
[gen102_001] 今日はここまで！
[gen102_002] では将臣、また明日だな
[gen102_003] うむ
[gen104_001] 将臣
[gen104_002] 将臣っ！
[gen104_003] なにをボーっとしている。今日は、おかしいぞ
[gen104_004] 鍛練でも集中力を欠いていた。ときおり呆けたように天井を見上げて……
[gen104_005] 熱でもあるのか？もしそうならちゃんと休め。変に無理をすると大怪我に繋がる
[gen104_006] 気を付けるようにな
[gen104_007] うむ
[gen104_008] では、また後でな
[gen104_009] なんだ。お前、今日のことを聞いていなかったのか？
[gen104_010] 今日はな、巫女姫様の婚約を祝う席が設けられているんだ
[gen104_011] おめでとう、将臣
[gen107_001] そうか……まだ、呪いは解けていなかったのか
[gen107_003] うむ。しかし……
[gen107_004] いや、何でもない。話は分かった。もし何か気付くことがあれば、すぐに報告を入れよう
[gen109_001] もうこんな時間か
[gen109_002] よし。今日はもう終わりにしておこう
[gen109_003] では、また明日だ
[gen201_001] お前はこの町に残るのだな？
[gen201_002] わかった。お前がそう決めたのなら、ワシも応援しよう
[gen201_003] お前には……迷惑をかけたな。本当にすまないと思っている
[gen201_004] そうなのか？
[gen201_005] 将臣……
[gen201_006] そうか……立派になったな、将臣。ワシとしても嬉しいぞ……くぅ……ッッ
[gen201_007] そういう事ならば、ワシは何も言うまい
[gen201_008] 困ったことがあれば、いつでも言え。できる限りのことはしよう
[gen201_009] それで鍛練の方はどうする？元々は祟り神と対峙するためのものだっただろう？
[gen201_010] そうだな、そこまで鍛練を積む必要はもうないしな
[gen201_011] ワシは構わぬが、嫌なら無理をせずとも
[gen201_012] お前がそんな風に考えるようになったとは……ワシとしても本当に嬉しい
[gen201_013] わかった。では鍛練は続けるとしよう
[gen203_001] よしっ、今日はこれまで
[gen203_002] 食事はよく噛むようにな
[gen203_003] むっ……将臣っ！
[gen203_004] 犬とは珍しい
[gen203_005] 飼うことが禁じられているわけではないがな
[gen203_006] 逃げたり捨てたりで野犬化すると、観光地としては色々と困る。それに祟り神の問題もあった
[gen203_007] さすがに放っておくわけにもいかんだろう
[gen203_008] 町の者にしろ観光客にしろ、飼い主に返した方がいいに決まっている
[gen203_009] いや、ペットも泊まれる宿を中心に、ワシが訊いてみよう。おそらくその方が早い
[gen203_010] どれ……ワシの方で預かるとするか
[gen203_011] ワシにはなつきそうにないな
[gen203_012] ……加齢臭、というやつか……？寂しいものだ……
[gen203_013] わかった。もし問題があればすぐにワシのところに預けにこい
[gen203_014] なに、狭い町だ、すぐに見つかる
[gen209_001] 残念ながら、思い当たる節はないな
[gen209_002] ワシが思い当たるのは、祟り神ぐらいなものだ。すまんな
[gen209_003] それはやはり駒川先生だろう。話は訊いたのか？
[gen209_004] 駒川先生にも思い当たる物はないか
[gen209_005] となると、あとはムラサメ様ぐらいなものだろう
[gen209_006] ふむ、であれば……そうだな……。呪いとはあまり関係がないが、史蹟に行ってみてはどうだ？
[gen209_007] 大層な物ではないのだがな。山の中に石碑がある
[gen209_008] 首塚というわけでもないが……合戦で死んだ者、流行り病で死んだ者を慰霊するための石碑だ
[gen209_009] 霊を慰めるための物であれば、憑代の代わりにはならぬだろうが
[gen209_010] 一応、ワシも調べてみよう。といっても、人伝に訊くぐらいしかできんが
[gen301_001] ならん
[gen301_002] 婚約を解消したのに、同居を続ける理由がないではないか
[gen301_003] 理由がないのに、安晴様に負担をかけるわけにはいかん
[gen301_004] ん？何だ？言いたいことがあるのか、将臣
[gen301_005] ムラサメ様？ここにいらっしゃるのか？
[gen301_006] 何とこれはお見苦しいところを
[gen301_007] 失礼致しました
[gen301_008] わかりました
[gen301_009] ん？それは真ですか？
[gen301_010] それは何故に……
[gen301_011] ……そうか。確かに御神刀は建実神社で保管した方が良いな
[gen301_012] ムラサメ様も当然、建実神社にいらした方が良い。それに――
[gen301_013] お前が唯一の使い手なのは確かだ
[gen301_014] しかし、婚約を解消した今、若い男が、巫女姫様と同居し続けて良いものか……
[gen301_015] 何故、わかるのですか？
[gen301_016] 巫女姫様が、将臣をそこまで
[gen301_017] そうか……
[gen301_018] ムラサメ様と巫女姫様が望んでおられるのなら、反対はできませんな
[gen301_019] 常陸さん、不肖の孫ですが改めてよろしくお願いします
[gen301_020] 下男として、好きなようにこきつかってください
[gen301_021] 当たり前だ。婚約者でない以上、今まで以上に働くのは当然至極
[gen301_022] 働かざる者、食うべからずだ
[gen302_001] うむ、今日も来たか
[gen302_002] こら、それを早く言わんか
[gen302_003] いつも、孫がお世話になっております。ムラサメ様
[gen302_004] いや、しかし、ムラサメ様がいてこそ今の穂織があるのも事実……
[gen302_005] そのムラサメ様と気安くするなど……
[gen302_006] 申しわけありません
[gen302_007] ん？どうかしたのか？
[gen302_008] 祝いか……
[gen302_009] ワシは直接、祟り神と対峙したことはなかった
[gen302_010] 大して役には立っておらんが、安晴様がそうおっしゃるのなら、喜んで参加しよう
[gen302_011] もちろんだ。仕事の都合をつけるとしよう
[gen302_012] ――なっ？！それは真か？
[gen302_013] く、それはムラサメ様もご無体なことを……
[gen302_014] ムラサメ様も、お人が悪い……
[gen302_015] よし、そろそろ稽古に入るとしよう
[gen302_016] 身体は温まっているか？
[gen302_017] では、公民館に移動した後、素振り１００本だ
[gen302_018] 一本ずつ気合いを入れて、振るのだぞ
[gen302_019] 声はもっと腹から出さぬか！
[gen303_001] 将臣、ちゃんと働いておるか？役に立っておるか？
[gen303_002] 安晴様、お言葉に甘えてやってきました
[gen303_003] ……廉太郎、将臣、宴の前にワシと軽く稽古するか？
[gen303_004] 雑念を払ってやろう
[gen303_005] いかにも
[gen303_006] ……何て雑な挨拶だ……
[gen303_007] それに良いのか？ムラサメ様に馴れ馴れしすぎぬか……？
[gen303_008] これは恐縮です。安晴様もどうぞ
[gen303_009] 将臣、お前も少しは呑め
[gen304_001] 今日も時間通りだな
[gen304_002] ところで、今日はムラサメ様はいらしておるのか？
[gen304_003] そうか、ではいつも通り公民館に移動して、まずは素振りだ
[gen304_004] 始めっ
[gen304_005] ふむ、いいだろう
[gen304_006] 今日はここまで
[gen304_007] では、帰るとするか
[gen304_008] 将臣は気にせずとも良い
[gen304_009] 風邪を引かぬうちに、早く帰って汗を流せ
[gen305_001] むっ
[gen305_002] ムラサメ様、いらっしゃったのですか
[gen305_003] いつも気づかずに、申しわけありません
[gen305_004] 何だ？
[gen305_005] ……その目は、稽古が嫌になったなどという軟弱な理由ではなさそうだな
[gen305_006] 訳を話してみよ
[gen305_008] ……お前の考えはわかった
[gen305_009] 安晴様の手伝いもあるし、放課後しか町おこしの準備をする時間はないだろう
[gen305_010] お前の好きなように、するがいい
[gen305_011] ふっ、お前も成長したものだな……
[gen305_012] 何でもない。くれぐれもムラサメ様の足手まといにはなるでないぞ
[gen305_013] ムラサメ様、孫をどうかよろしくお願い致します
[gen305_014] そうか……
[gen305_015] 困ったことがあったら、何でもワシに相談しろ
[gen305_016] では、ワシは仕事に戻る。失礼します、ムラサメ様
[gen306_001] む？どうしたのだ、皆でそろって
[gen306_002] 巫女姫様や、常陸さんまで
[gen306_003] ああ、だいたいの話は安晴様から聞いておる
[gen306_004] とにかく、ここで立ち話では落ち着かん。客間に行こう
[gen306_005] あ、すまんが、女将も同席してくれぬか
[gen306_006] その方が良いのであろう？将臣
[gen306_007] だいたいはな
[gen306_008] ふむ、やはりそうか
[gen306_009] それはリヒテナウアーさん自身の意思でもあるのかな？
[gen306_011] ははははは！
[gen306_012] リヒテナウアーさんの考えは、実にしっかりしておる
[gen306_013] それに巫女姫様に、そこまで頼まれては嫌とは言えますまい
[gen306_014] 女将、ワシからも頼む。何とかリヒテナウアーさんの空き時間を作ってくれ
[gen306_015] 将臣、しばらくはこの客間を好きに使うがいい
[gen306_016] 話し合いの場が必要だろう？
[gen306_017] お茶くらいならば、出してやる
[gen306_018] な、何？！ムラサメ様もいらしたのか？
[gen306_019] それを先に言わんか！馬鹿者！
[gen309_001] ム、ムラサメ様っ！
[gen309_002] はいっ！御身体はもう大丈夫だと聞き、飛んで参りました……！
[gen309_003] 鞍馬玄十郎でございます！お目にかかれて光栄です！
[gen309_004] もっ、もったいないお言葉……！
[gen311_001] ふむ、話はすでにあらかた聞いておる
[gen311_002] 午前中に、臨時の町内会議があってな、そこで安晴様から話があった
[gen311_003] 是非、その案でいこうと決まりました、巫女姫様
[gen311_004] 御神刀イベントの復活祭を、近日中にやりたいと
[gen311_005] はい、ワシもあまりに早急なのはどうかと思ったのですが……
[gen311_006] 町の財政難を一刻も早く解決したいという、住民の意向もよくわかります
[gen311_007] 急なことになって申し訳ありませんが、何卒ご容赦ください
[gen311_008] 将臣
[gen311_009] ムラサメ様の宿らない叢雨丸は、ただの一振りの刀にすぎん
[gen311_010] それを奉納の儀の際に、岩に深く突き刺さねばならん
[gen311_011] 機会はおそらく一度きり。失敗したら、叢雨丸が折れると思え
[gen311_012] ムラサメ様が人にお戻りできるか
[gen311_013] 穂織の地が再び活気を取り戻すか
[gen311_014] 全て、お前の双肩にかかっていると心得よ！
[gen311_015] ……覚悟はできているようだな
[gen311_016] ムラサメ様、もちろんです
[gen311_017] この鞍馬玄十郎、命に代えても……！
[gen311_018] もし失敗したら、腹を切る覚悟でやりましょう
[gen311_019] 馬鹿者！それぐらいの気概がなくて、やりとげられることではないっ！
[gen311_020] ５００年の永きに渡る伝承に、お前が終止符を打つのだぞ？
[gen311_021] 何としてもムラサメ様を、お救いするのだ
[gen311_022] 将臣、お前も命がけでやれ！
[gen311_023] では、早速、将臣は今日から特訓に入る
[gen311_024] すぐに御神刀を取って来い。真剣でやるぞ
[gen311_025] では、ワシも将臣との稽古にしばらく専念します
[gen311_026] この部屋は今まで通り、自由に使ってください。何かあったら女将に
[gen311_027] わかりました。それから、廉太郎
[gen311_028] 信じておるからな、頼んだぞ
[gen311_029] では失礼する
[gen311_030] 来たか……
[gen311_031] 将臣、本来ならまず落ちてしまった体力を取り戻すための基礎トレーニングを行うところだが
[gen311_032] お前も知っての通り、時間がない
[gen311_033] ただ、お前の太刀筋を鋭く、強いモノにすることのみに集中する
[gen311_034] お前はこれから岩をも貫くほどの太刀筋を、身体に刻み付けるのだ！
[gen311_035] 体力不足は気力で補え。それしかあるまい
[gen311_036] 良いか？
[gen311_037] では、場所は――
[gen311_038] ムラサメ様、今回の奉納の儀は、将臣が一人で成し遂げなければなりません
[gen311_039] 巫女姫様達と、町おこしの準備の方に力を注がれた方がよろしいのではありませんか？
[gen311_040] 将臣、みなまで言わなくてもよい
[gen311_041] ムラサメ様、わかりました
[gen311_042] ただし、稽古の間はたとえムラサメ様であろうと、一切口出しはしないでください
[gen311_043] それでも、よろしいですか？
[gen311_044] ならば、結構です
[gen311_045] 最後まで、ご自身の責任を果たしてください
[gen311_046] 山へ行くぞ、将臣
[gen311_047] 町中で、真剣は振り回せんからな
[gen311_048] この辺りまでくれば、よいか……
[gen311_049] よし、ここにしよう、将臣
[gen311_050] すぐにでも始める。ムラサメ様は下がっていてください
[gen311_051] 御神刀を抜け、将臣
[gen311_052] ほう、さまにはなっているな
[gen311_053] そうであったな、だが、油断は禁物だ
[gen311_054] それは真剣だ。扱いを誤れば、大怪我では済まぬかもしれん
[gen311_055] 細心の注意を常に怠るな
[gen311_056] では、まずは百回、斬ってみよ
[gen311_057] 始めっ！
[gen311_058] 腕だけで刀を扱うな！
[gen311_059] ただ振るのではない！斬ることをイメージしろ！
[gen311_060] 疲れたか？
[gen311_062] いったん、休め、将臣
[gen311_063] ダメだ。思った以上にお前の基礎体力は低下しているようだ
[gen311_064] 怪我をしては元も子もない。命令だ、休め
[gen311_065] 将臣、そろそろ再開するぞ
[gen312_001] ふむ、来たか
[gen312_002] 身体はすでに温まっておるようだな
[gen312_003] ひどい筋肉痛だと、ムラサメ様から聞いておるが、そっちはどうだ？
[gen312_004] そうか。なら、今日からは本気でいくぞ
[gen312_005] 今日は午前中に、ワシも御神刀をムラサメ様からお借りして勘を取り戻した
[gen312_006] 昨日よりも、実践的な指示が出せよう
[gen312_007] まずは昨日と同じく、百回、御神刀で斬ってみよ
[gen312_008] 祟り神を斬るつもりで、気を抜かずな
[gen312_009] はじめっ！
[gen312_010] よし、いったん、やめっ！
[gen312_011] 御神刀を鞘に納めよ、休憩だ
[gen312_012] ワシは自分で用意しておる。気にするでない
[gen312_013] 無粋なことはせん、ワシは少し向こうで休んでおる
[gen312_014] ムラサメ様、孫を頼みましたぞ
[gen312_015] うおっほん！おほん！
[gen312_016] いや、ワシと将臣の稽古の途中のはずですぞ、ムラサメ様
[gen312_017] ま、孫の前では勘弁してください、ムラサメ様！
[gen312_018] というか、あの時見ておったのですか？！
[gen312_019] く……！
[gen312_020] け、稽古を再開するぞ、将臣っ！
[gen312_021] ムラサメ様にからかわれた分、厳しくする
[gen312_022] 五月蠅い、剣一筋に生きよ、将臣
[gen312_023] それが穂織の男というもの
[gen312_024] と、とにかく、はじめっ！
[gen313_001] はあああっ！
[gen313_002] いやあああっ！
[gen313_003] ああ、ムラサメ様、こんにちは
[gen313_004] 将臣、今日は元気そうだな
[gen313_005] そうか。それならばちょうど良かった
[gen313_006] 本日から、本格的にやろうと思っていたからな
[gen313_007] どうした、急に顔色が悪くなったようだが
[gen313_008] よし、まずは今まで通り御神刀で百回斬ってみろ
[gen313_009] 本当に勘が戻ったか、ワシが見てやろう
[gen313_010] はじめっ！
[gen313_011] よし、止め！
[gen313_012] ふむ、確かに勘を取り戻したようだな
[gen313_013] 無駄な力が入ってない。だから、まだ体力に余裕があるだろう？
[gen313_014] いったん休憩にする。その後でいよいよ、奉納の儀の型の練習に入る
[gen313_015] そういうことだ。では、ワシは川原に行く。戻るまで休んでおれ
[gen313_016] よし！稽古を再開するぞ、将臣！
[gen313_017] な、何ですかな？ムラサメ様
[gen313_018] なっ？！ムラサメ様、お戯れを！
[gen313_019] まったく訳がわかりませんぞ！
