=== mur (mur) 剧情配音文本 ===
共计 3300 句台词

[mur001_001] ふむ。お主が、吾輩のご主人か？
[mur003_030] 山が崩れ、大きな被害を生み、死者も大勢出た。それが祟りだという噂が広まってな
[mur003_031] 呪われた姫を奉る呪われた土地、そんな噂がイヌツキという呼称を生んだのだ
[mur003_032] その場合は、直接穢れを祓って対処する必要がある
[mur003_033] それは少し違う。吾輩は自らの意志で叢雨丸の管理者になったのだ
[mur003_034] それもあるが、吾輩は流行り病にかかっておったのだ
[mur003_035] 同じ病で何人も死んでおった。吾輩も早晩死んでおったであろうな
[mur003_036] 吾輩の命で皆が救われるなら……と、望んで管理者になった。ゆえにご主人と吾輩では状況が全然違う
[mur003_037] 何とも言えんな。祟り神が危険なのは、ご主人も身に染みておろう
[mur003_038] 及び腰や二の足を踏むぐらいならば、行かぬ方がよいと思うが……
[mur003_039] 行くのか？
[mur003_040] つまりは見栄だな？
[mur003_041] 男の動機としては十分だ。見栄が大事なこともあるものだぞ、ご主人
[mur003_042] ごごごごご主人、な、なぜそんなに黙っておるのだ？なななな何か話をせんか
[mur003_043] こっ、こらぁ、ご主人、なぜ無視をするのだぁ！
[mur003_044] な、なななななにを言うのだ、ご主人。こっこっ怖いわけがない、わはは
[mur003_045] そうだとも
[mur003_047] ぴゃーーっ！？
[mur003_048] ば、バカを言うでない。吾輩は普通だ。歌を歌ってしまうぐらい普通だぞ
[mur003_050] ご主人も怖いのか？
[mur003_051] ぴゃ！？幽霊！？お化け！？
[mur003_052] そ、そうか……な、ならいいのだ
[mur003_053] だって……言ったらどうせ、『幽霊が幽霊を怖がってる』などとバカにするであろう？
[mur003_054] 話をごまかした……やっぱりご主人もそう思っておったのだな
[mur003_055] うむ、大丈夫だ
[mur003_056] 緊張しておるか？
[mur003_057] 心配するな、吾輩がついておる。それにご主人は叢雨丸に選ばれたのだ
[mur003_058] 神から授かった特別な刀に選ばれたのだぞ。もっと自分を信じろ
[mur003_059] なぜご主人は、そんなに悲観的な考えなのか……
[mur003_060] 叢雨丸を抜こうとした者は、千や二千ではないのだぞ
[mur003_061] そういう側面がないわけでもないが……アレは吾輩の力を維持するためのものだな
[mur003_062] 吾輩に睡眠や食事は必要ないのだが、精神的な活力というか生気というか……そういった力は必要になる
[mur003_063] ご主人にもわかりやすく言うならば、強い意志や感情……が意味合い的には一番近いかのう
[mur003_064] 吾輩自体は消えはせんが、力が弱くなる。そうすると叢雨丸の神力も弱まってしまう
[mur003_065] 力を維持するための催事であり、叢雨丸の使い手はな、別に探す必要はないのだ
[mur003_066] 選ばれるのは偶然ではなく必然。ご主人はそういう運命だったということだ
[mur003_067] ご主人は気まぐれで選ばれたわけではない。やれることがあるから選ばれたのだ
[mur003_068] だから吾輩は、ご主人がこうして行動を起こしたことに賛成するし、意味があると思っておるぞ
[mur003_069] 叢雨丸に選ばれたのは、決して偶然ではない。選ばれた意味があるはずだ
[mur003_070] だからご主人もおった方がいいと、吾輩は思うのだ
[mur003_071] ではご主人、叢雨丸を抜け
[mur003_072] そのままだぞ
[mur003_079] よっと。ご苦労だったな、ご主人
[mur003_080] 霊的な存在を斬るための刀じゃからな
[mur003_081] それよりも芳乃、大丈夫か？
[mur003_082] 怪我もそうだが、ご主人が叢雨丸を振ったとき、近くにおったであろう？
[mur003_083] いや、そうではない。さっきも言ったが、叢雨丸は霊的な存在を斬ることに特化しておる
[mur003_084] ゆえにな、もしかしたら何かしらの影響があるのではないかと――
[mur003_085] やれやれ……どっちも子供だのう
[mur003_086] にしても、久々の憑依でちょっと疲れた
[mur003_087] 氣力を消費するというか……なんかこう、精神的に疲れるのだ
[mur003_088] いや、この程度ならば平気だ。休めば朝にはいつも通りになっておる
[mur003_089] 普通にしておればとも言ったはずだぞ？今回のような場合には、流石に吾輩も休む
[mur003_090] まあ、何か用事があったら吾輩のことを強く念じろ。そうすれば吾輩に届く
[mur003_091] ではな、ご主人、芳乃
[mur004_001] 手首は大丈夫か？
[mur004_002] 振り方が悪いから、そうなるのだ
[mur004_003] 斬るのに技術は必要なくても、前後の動きに関してはご主人が何とかするしかない
[mur004_005] アレは物理的に刺さっていたのとは違う
[mur004_006] なにより叢雨丸はこの世ならざるモノを斬るための神刀！現世の切れ味など関係ないのだ！
[mur004_007] ななっ失礼な！どこが“妖刀”だというのだ！
[mur004_008] 吾輩は妖怪でも、ましてや幽霊でもない！そのような言い方は誠に遺憾である！
[mur004_009] 屈辱っ！屈辱だぞ、ご主人！
[mur004_010] 今、とても不快なことを考えたであろう
[mur004_011] 目をそらした。
[mur004_012] そうじゃな……正直に打ち明けるのと誤魔化すのと、どちらがよい？
[mur004_013] 今、吾輩たちが把握しておることは、祟り神が朝武の血筋を襲うということ
[mur004_014] 祟り神の穢れを祓うことはできるが、いくら祓っても再び発生する
[mur004_015] モノによる。深い怨みや未練は恐ろしく強く残る
[mur004_016] たとえ術者が死んでも……いや、制御する者がいなくなったからこそ呪詛が暴走する場合もある
[mur004_017] だがさすがに、いくらなんでも数百年は長すぎる
[mur004_018] そもそも穂織の地に湧く温泉は穢れを落とす。そのために土地の神から与えられた湯である
[mur004_019] 理由があるということは、呪詛を解く方法もあるはずだ
[mur004_020] ただ、今のところはその先はお手上げでな。理由を探そうにも、雲をつかむような話で……
[mur004_021] 待て、ご主人。ちゃんと湯浴みをしてから寝るのだ
[mur004_022] それもあるが、祟り神と接触したからな。ご主人の中にも穢れが溜まっておる
[mur004_023] 穂織のお湯は穢れを落とす。身体を清める力があるのだ
[mur004_024] 効能が凄いのは、その副産物みたいなものじゃな
[mur004_025] 穢れを落とすためには、それに見合った施設が必要だ――
[mur004_026] という名目で、随分前の風呂好きの巫女が無理矢理こんな風にしたのだ
[mur004_027] おはよう、ご主人
[mur004_028] パッと見る限りでは問題はなさそうだ。他の傷と同様、まだ痕が残っているが、すぐに消えてなくなるはずだ
[mur004_029] しかし貧弱な身体だのう
[mur004_030] 昔は皆もっとガッシリしておったんだぞ。背丈はご主人の方が高いが
[mur004_031] ほっそい腕だのう、ご主人
[mur004_032] 力コブ、全然できておらんぞ？
[mur004_034] 元は武道館で、剣術道場が使っていたのだが、徐々に門下生もいなくなってな
[mur004_035] 建物自体は立派な物じゃから、内部を改装して、今の学院となったわけだ
[mur004_036] 吾輩もおるしな。心配はいらんぞ
[mur004_037] ご主人には吾輩がついておこう
[mur004_038] ……運動？
[mur004_039] ご主人、運動とはどういうことだ？
[mur004_040] 戻ったぞ
[mur004_041] 芳乃は……舞の練習か？
[mur004_042] 芳乃はそういう性格ではないな
[mur004_043] どこに行くのだ、ご主人？
[mur004_044] ………？
[mur004_045] ッ！？！？！？
[mur004_046] よもやご主人に、男色の趣味があろうとは……驚愕の事実だ
[mur004_047] 武家の人間ならば衆道も普通……
[mur004_048] つまりまずは自分の内面から武道を嗜む人間になろうというのだな、その心意気や良し
[mur005_002] 起きんかご主人
[mur005_003] この時間に“絶対に”起こして欲しいと言ったのは、ご主人であろう
[mur005_004] 吾輩は何度も声をかけたのだぞ？それでもご主人が起きぬから、仕方なく最終手段を使ったまでだ
[mur005_005] それとも、起こさない方がよかったか？
[mur005_006] 吾輩に頼む前に、ちゃんと自分で起きるようになれ
[mur005_007] ほれほれご主人、サッサと布団から出ぬか
[mur005_008] せっかくの早起きも、二度寝しては意味がないぞ？
[mur005_009] ご主人が起こして欲しいと言った癖に、なかなか起きんのだ
[mur005_010] なんだご主人、もしや吾輩に欲情しておったのか？
[mur005_011] “幼刀”だ“ぺったんだ”と言いつつも……やはり若い男よの。
[mur005_012] ぶちのめすぞ、ご主人
[mur005_013] 先ほどの言い訳には無理がないか、ご主人？
[mur005_014] 素直に言えばよいではないか
[mur005_015] また男の意地か？嫌いではないがな、それにも限度がある。無駄に意地を張りすぎるのは、粋ではないと思うが
[mur005_016] ほう。最近は男色をびぃえると呼ぶのか。なるほどな
[mur005_017] 一本もまともに打てなかったな、ご主人
[mur005_018] ご主人ー！朝だぞ、ちゃっちゃと起きんか、ほれ
[mur005_019] 寝ぼけておらんで、起きろ。朝の鍛練に遅れるぞ？
[mur005_020] お、おお……唸り声ではなく泣き声だったか……
[mur005_021] ――よっと
[mur006_001] ご主人ー
[mur006_002] 朝だぞ、ご主人。土曜日でも鍛練は行うのであろう？
[mur006_003] しかし、土曜日ぐらいは少し時間を遅くしても良かったのではないか？
[mur006_004] そういうものか。吾輩、人の視線とは無縁になって長いからのう
[mur006_005] ならばご主人、なおさら急いだ方がよいのではないか？ほれほれ
[mur006_006] そうか？吾輩は普通のつもりなのだが？
[mur006_007] ふむ……言われてみると、そうだな。確かに少々はしゃいでおるかもな
[mur006_008] ご主人は……初めて吾輩に、触れた人間だからな……
[mur006_009] ああ、そうであったな……人の胸をか、かかか硬いなどと言った不埒者であったな
[mur006_010] 本当に反省しておるのか？
[mur006_011] ………まあよい。ともかく、この状態になってから長い。人の温もりなど忘れておったぐらいだ
[mur006_012] ゆえにな、久々に温もりに触れて……少々浮かれておるやもしれん
[mur006_013] もし不愉快であったならば、今後はこのようなことがないように気を付けるが……
[mur006_014] ……ご主人……？
[mur006_015] うむ。ご主人は、そういうヘタレだと思っておったぞ
[mur006_016] そうか？吾輩、もっと失礼な人間を知っておるぞ？
[mur006_017] いきなり人の胸をも、ももも揉んで、大した感触ではないと言ったたわけ者をなぁ
[mur006_018] 当然であろう！うら若き乙女の胸を揉んだのだぞ！？笑ってすまされるはずがなかろうが！
[mur006_019] あ、その目……また、失礼なことを考えておる
[mur006_020] む、そうだな………………で、では……
[mur006_021] 頭を撫でてくれぬか？
[mur006_022] う、うむ……ダメか？
[mur006_024] う、うむ。それぐらいがちょうどいい……えへ……えへへ
[mur006_025] なにやら、むずむずするのう……あ、頭を撫でられるのは、こんなにくすぐったいものだったか
[mur006_026] ……自分で頼んでおいてなんだか、気恥ずかしいものだな
[mur006_027] もう少し……ダメか？
[mur006_028] うむ。ありがとう、ご主人！えへへ……
[mur006_029] ……ふひひ……
[mur006_030] ……あっ……
[mur006_031] えへへ……
[mur006_032] ……あっ……
[mur006_033] うぇへへ……
[mur006_034] ……あっ……
[mur006_035] うぇひひ……
[mur006_036] ……あっ――って、吾輩で遊ぶな、ご主人！
[mur006_037] ご主人。、別行動してもよいか？
[mur006_038] いや、吾輩を見えぬ者が一緒におっては、おいそれと話しかけることもできん
[mur006_039] 吾輩を見えぬように振る舞うのは、ご主人も落ち着かぬのであろう
[mur006_040] ゆえに、一緒でない方がご主人も楽かと思ってな
[mur006_041] 別に謝る必要はない。吾輩もたまには散策をしたいのだ。ではな
[mur007_001] あのままでよいのか、ご主人？
[mur007_002] 終わりを告げる音が聞こえたからな
[mur007_003] 適当に散策しておるだけだ。授業を聞いておっても暇じゃからな
[mur007_004] それよりもご主人、あのままでよいのか？
[mur007_005] 理由ならあるではないか
[mur007_006] 男の見栄というのも、面倒なものだのう
[mur007_007] ……ひょわっ！？なにか音がしたぁっ！？
[mur007_008] そうか……ならばいいのだが
[mur007_009] よ、よし、歌でも歌うか！
[mur007_011] だって吾輩そういう歌しか知らぬのだぁ～～～！
[mur007_012] なんと……っ、ご主人……天才であったか
[mur007_013] よし。ではしよう、今しよう、すぐしよう
[mur007_015] ご主人。寝る前にちゃんと湯浴みをして、穢れを洗い流すのだぞ
[mur007_016] やれやれ。湯殿の中で居眠りをせぬように、見ておいてやるか
[mur008_001] ご主人、朝だぞ。
[mur008_002] ………？どうかしたのか、ご主人？
[mur008_003] まっ、ましゃか幽霊とか言い出すつもりか？
[mur008_004] お、おい、微妙な反応のままにするな！余計気になるではないか！
[mur008_005] 無視をするでない、ご主人。。。。ッ！
[mur008_006] 本当に頭が固いのう。もうちょっと融通をきかせてもよかろうに
[mur008_007] こうなったら、ご主人が命令を下すのが一番早いのではないか？
[mur008_008] あ、なにかエロいことを考えておる顔だ
[mur008_009] ほれみろ、やはり考えておったではないか
[mur008_010] ほほう、恥ずかしい願いなのか？
[mur008_011] それはもう冷たい表情で、突き放すようにな
[mur008_012] 芳乃がそれを言うのか？空気を重くしていたのは、一方的に芳乃だったと思うがな
[mur008_013] まだ硬いのう
[mur008_014] もう少し親しげな方が、友達っぽいと思うぞ、吾輩
[mur008_015] とりあえず今の丁寧な口調を、もう少し軽くしてみるのはどうだ？
[mur008_016] それではさらに硬くなっただけであろう
[mur008_017] 若者が使う言葉があるであろう？
[mur008_018] ぷぷーっ！
[mur008_019] 吾輩は久々に聞いたのう。しかしヨロピクって……うぷぷっ
[mur008_020] 笑った吾輩が言うのもなんだが……止めてやれ。本気で泣いておるぞ、それは
[mur009_001] 朝っぱから何をやっておるのやら……
[mur009_002] ご主人と芳乃にとって、これが普通の友人関係か……おそるべし
[mur009_004] いや、大したことではないのだが……その石から妙な気配を感じてな
[mur009_005] この欠片自体に大した力はない。それは間違いないのだが……
[mur009_006] 少し……ご主人の気配に似ておる様な……
[mur009_007] それに気になるのは、それを拾った場所だ。もしかしたらこの妙な気配に、祟り神が関係しておるかもしれん
[mur009_008] やはり駒川の者に預けるのが一番ではないか？
[mur009_009] 駒川の一族は元を正せば陰陽師だったと聞いたことがある
[mur009_010] 武家の台頭に伴い呪いが廃れ、陰陽師から医者に鞍替えしたらしい
[mur009_011] その後、穢れや呪詛に関する調査のために朝武のお抱えにされたのだ。この欠片についても、何か知っておるかもしれん
[mur009_012] 吾輩は呪に対して特別な知識はない。むしろ長年研究しておる駒川の方が知識を持っておる
[mur009_013] そうじゃな。ご主人や芳乃にすれば、我が身に大きく関わることだ
[mur009_014] 祟り神の影響を受けた欠片ならば、耳が生えるやもと思ったが……反応なしか
[mur009_015] もしくは、反応しない程度の弱い関係だった、という可能性だな
[mur009_016] 吾輩が行こう
[mur009_017] アレだけ小さな欠片だ。場所を限定しても見つけるのは、容易ではあるまい
[mur009_018] だが吾輩なら、微弱とはいえ、気配を感じることができる
[mur009_019] うむ
[mur009_020] ご主人の方こそ、勝手に危ないことをするでないぞ
[mur009_021] 今戻ったぞ、ご主人
[mur009_022] すまぬな。キリのいいところまで続けておったら、意外と時間がかかった
[mur009_023] 呪詛のことならば心配は要らぬ。吾輩が祟り神に襲われることはないからな
[mur009_024] で、でででも、夜の山はちょっぴり怖かったぞ……
[mur009_025] いや……残念ながら……。色々探し回ったのだがな……
[mur009_026] あの欠片が大きい方で、他はもっと小さい可能性もあるが……
[mur009_027] 流石にアレより小さいとなると、吾輩も感知するのは難しいと思う
[mur009_028] だが、探したのは一部だ。今後も探索を続ける。どうせ、ご主人が学院におる間は暇だしな
[mur009_029] 成果はなかった。明日はもう少し範囲を広げて探索してみよう
[mur009_030] なにやらピリピリしておったな
[mur009_031] 吾輩がおらぬ間に、怒らせるようなことでもしたのか？
[mur009_032] 御免蒙る。吾輩、そういうことに巻き込まれたくない
[mur009_033] それにだな、吾輩に声をかけなかったということは、ご主人だけに来て欲しいということではないか？
[mur009_034] お、戻ったか。どうであった、ご主人？怒られたか？
[mur009_035] うむ、吾輩はそう思っておる
[mur009_036] 何があったのかはよくわからんが……
[mur009_037] それが吾輩の役目だ、存分に頼ってくれて構わんぞ
[mur010_001] いい案だと吾輩も思うぞ
[mur010_002] 芳乃も茉子も、誰かと遊びに行くことなどなかったであろう？
[mur010_003] さて、では吾輩も探索に行ってくる
[mur010_004] 気にするな。大体、芳乃は張りつめ過ぎなのだ。いい機会だ、今日はゆっくり休め
[mur010_005] 吾輩に謝るよりも、まず年相応の思い出を作れ。それぐらいしてもいいのだぞ
[mur010_006] それに吾輩は嬉しいのだ。ご主人が現れるまでは、見ておることしかできなかったからな
[mur010_007] 吾輩でもやれることがあるというのは、悪い気分ではない。まあ、任せておけ
[mur010_008] おお、ご主人。おかえり
[mur010_009] うむ。少し早めに切り上げた
[mur010_010] ところでご主人、今日は山の中におったであろう？
[mur010_011] 別に怒っておらん。問題ないのだが……吾輩は息抜きしろと言ったはずだぞ？
[mur010_012] そうか。ならばよい
[mur010_013] では、そんなご主人に報告がある
[mur010_014] 見つけたのだ、ご主人
[mur010_015] 落ち着けご主人。もうすぐ日も沈む。夜の山に入るつもりか？
[mur010_016] う、うむ
[mur010_017] えへ……えへへ……
[mur010_018] ふふん。存分に労わって構わぬぞ、ご主人
[mur010_020] 何も見つけられなくて、とはどういうことだ？　息抜きしておったのではないのか？
[mur010_021] 吾輩に嘘を吐いたのか、ご主人
[mur010_022] え、あっ……ご、ご主人、卑怯だぞぉ……えへ……えへへ……
[mur010_023] だから、吾輩で遊ぶでない、ご主人！
[mur010_024] なんだ、それは？
[mur010_025] ぱふぇ、とな？そういえば、そういう物が売られておると聞いたことがあるような……
[mur010_026] ぅぅー……どのような味であるのか、気になる。吾輩も食べたいのう……
[mur010_027] うむ、そうだな
[mur010_028] ……むっ……言われてみれば、確かにそうかもしれんな
[mur010_029] お、おぉ……あ、あーん
[mur010_030] ……ぐぬぅ……
[mur010_031] なんの味もせぬ
[mur010_032] ……ぱふぇ……食べたかったのぅ……
[mur010_033] ご主人、そんないけずな言い方をしておらんで、早く教えてくれ
[mur010_034] ふむ
[mur010_035] ふむ？
[mur010_036] ふ……む……？
[mur010_037] ご主人、吾輩の勘違いでなければ、接吻を行うことになってしまわぬか？
[mur010_038] バ、バカを言うでない！いいいいいくらご主人が相手とはいえ、せ、接吻などっ
[mur010_040] だがしかしっ、ぱふぇを食べる方法がないのだとすれば……ぐぅ……
[mur010_041] じゃが、じゃがぁ……そっ、それしか方法がないのであれば……吾輩は……っ
[mur010_042] な、なんだと！？わ、吾輩をたばかったのか、ご主人っ
[mur010_043] ……たとえばぁ？
[mur010_044] ふむ……つまり、吾輩にご主人の指を舐めろというのか？それも十分はしたないと思うのだが……
[mur010_045] うぬぅぅ……わ、わかった。ではその方法で、よろしく頼む
[mur010_046] ……あ、あーーん……
[mur010_048] んっ、れろ、れろ、ちゅぅぅぅ……
[mur010_049] んぷ……ごしゅひんのゆび……あまくて、おいひい……れろれろ
