=== koh (koh) 剧情配音文本 ===
共计 1138 句台词

[koh001_001] どうしたの、お姉ちゃん
[koh416_003] あははは、今時そんなこと言う人なんていないよね
[koh416_004] んーーっと……
[koh416_005] やっぱり……外国の人には、クレイジーに見えるってことなのかな？
[koh416_006] 廉兄知らなかったの？
[koh416_007] 。。。っ
[koh416_009] むしろ私達の方が勉強になったかもしれないね
[koh417_001] そうだよ！やめて、廉兄ッ
[koh417_002] うっ……うっ、信じてるからね、お兄ちゃん？お兄ちゃんは廉兄みたいなことしないって！
[koh417_003] 大丈夫！信じてるからっ
[koh417_004] 廉兄みたいにエッチなことが目的で、女の子の部屋へ忍び込んだりしないって
[koh417_005] だって廉兄ならやりかねないけど、お兄ちゃんはしないもん！
[koh417_006] そうだよね、お兄ちゃん？信じてるからね……大丈夫、私は信じてるから！
[koh417_007] お兄ちゃんの命が、風前の灯火にっ
[koh417_008] もう廉兄、どうせそこだけしか覚えてないんでしょ？
[koh417_009] だからハッケヨイ、ノコッターはアレ、アレの変化した言葉で…………あれ？
[koh417_010] そ、それで巫女姫さま？それってどういう意味でしたっけ
[koh417_011] あー、お菓子とか、おまんじゅうとか、お砂糖とか？
[koh417_012] べ、別にパッと思いついただけだもんっ
[koh417_013] おバカとか、お下品とかも、本来の意味より柔らかい表現になるよね？
[koh417_014] 普段何気なく使ってる言葉でも、意外とわかってないものなんだね
[koh417_015] あはは。ごめんね、お兄ちゃん、レナ先輩……
[koh417_017] それでぎゃふんと言わせてやるって言いながら、さっきまで新作パフェを作ってたんだけどね
[koh417_018] う、うーん、それが……
[koh417_019] で、でも、本当にいいの？
[koh417_020] お姉ちゃん、いつもは上手くなだめすかして言うこと聞いてもらえるまで粘るんだけどね
[koh417_021] どっちもお店のこと考えて言ってるから、今回は正面から衝突しちゃって……
[koh417_022] えええええッ！！？
[koh417_023] だ、だって……大丈夫、お兄ちゃん？あまりのショックに舌がおかしくなったわけじゃないよね？
[koh417_024] も、もっとわさびの量を減らせばいいんじゃないかな？
[koh418_001] ……そんなにたくさんやったかな？
[koh418_002] ひょっとして、志那都荘に関係あることなのかな？
[koh418_003] え？
[koh418_004] え、えっと……私はどうだろ？してない、気がするけど
[koh418_005] 嘘だー、廉兄が言うなら嘘！私はしてないもん
[koh418_006] お、お兄ちゃんまで！？
[koh418_007] な、なによ、廉兄なんて、電話に向かって土下座してた癖に！どうせ、相手は女の子だったんだよね？
[koh418_008] うう。、でもどうしてなんだろ？私の場合、完全に無意識かも
[koh418_009] そっか、私達には普通のことだもんね？でもその分、外国の人には変に見えちゃうのかも
[koh418_010] そうなんだぁ、中身はなんだろうなぁ
[koh419_001] うっ……臭いがすでに危険な感じがする
[koh419_002] 先輩方も食べる前に気付きましょうよ
[koh419_003] なんていうか、これ……言葉にして説明したくないような臭いが
[koh419_004] なんのために！？
[koh419_005] 廉兄なら別に死んでもいいから、私は止めないけど
[koh419_006] なんだ、そうなの？
[koh419_008] そんなレベルじゃないよ！
[koh419_009] 廉兄、しっかり！目を覚まして！廉兄がっ、廉兄が死んじゃうぅ。！！
[koh419_010] やっぱり、人が食べていい物じゃないよ！
[koh419_011] そっか、良薬口に苦しって言うもんね
[koh419_012] へ、へー、生姜入りのクッキーなのかな？じゃあ、１つもらいますね
[koh419_013] だってクッキーだし、他に変なのが出る前におなかいっぱいになったほうがいいかなって
[koh419_014] だ……大丈夫、クッキーなんだから大丈夫ですよ
[koh419_015] あ！食べられるっ、ちゃんと食べられるよ、これ！
[koh419_016] ちょっとぱさぱさして喉が渇く感じがするけど、ちゃんと食べられるよ！
[koh419_017] 確かに、合いそうですね！
[koh419_018] ぴゃ、ぴゃンケーキ！？
[koh419_019] ……へ？
[koh419_020] そこはジャムとか、クリームじゃないんだ……
[koh419_021] お兄ちゃん……本当のこと言うなら、今のうちだと思うよ？
[koh419_022] へえ、またみんなでお泊まり会するんだ！
[koh419_024] 嘘ばっかり
[koh419_025] 女の子だけじゃなくて、お兄ちゃんまで最近相手してくれないからヒマなんだよ、きっと
[koh419_026] お姉ちゃん、ありがとう！
[koh419_027] でも志那都荘は自分の家みたいなものだし、寝るときは自分の部屋へ戻った方がいいかな？
[koh419_028] それはダメっ、廉兄がいるから絶対ダメ！
[koh419_029] 女の子のいる部屋に、廉兄を泊まらせるわけにはいかないもん
[koh420_001] あ、お兄ちゃん達、もう来てたんだ！
[koh420_002] おっぶ！私は、運ぶの手伝っただけだから
[koh420_003] わ、私の知ってるおっぱいと違うっ
[koh420_004] はーい
[koh420_005] お姉ちゃんからの差し入れです
[koh420_006] ううん、それがお姉ちゃん、自分で作ったみたいで……
[koh420_007] う、うーん、えっとね
[koh420_008] ああ、待って下さい、巫女姫様！その前に少しせつめ……
[koh420_009] あっ
[koh420_010] あ、あはは、実はね、この間作ったわさびパフェ用に仕入れた大量の粉わさびが余ってるらしくて
[koh420_012] つまり、ハズレを引くとああなります
[koh420_013] 私は言おうとしたもん、だいたいお姉ちゃんのお店にこれ取りに行ったとき、説明してくれてたよね？
[koh420_014] 廉兄聞いてなかったでしょ？
[koh420_015] 廉兄は、日頃の行いが悪いんじゃない？
[koh420_016] へー、なんか楽しそうですね……あっ！私も一組揃いました
[koh420_017] あの、私はクラスが違うけど、そう思ってていいのかな？
[koh420_018] 一番槍はお兄ちゃんに譲るね？
[koh420_019] へ、へえ
[koh420_020] トナカイ、食べちゃうの？
[koh420_021] 乗れちゃうんだっ
[koh420_022] やっぱり食べちゃうんだ！？
[koh420_023] あ、あの、そのときはサンタさんの村にも寄れますか？
[koh420_025] 嫌なら、廉兄だけ来なきゃいいでしょ！
[koh420_026] なにそれ？絶対廉兄の方が、ガキなんだから
[koh420_027] う、うん、ＴＶでも何度も放映されてますし、内容も知ってるはずなんですけどね
[koh420_028] でもレナ先輩は、明日も朝早いんですよね？
[koh420_029] あ、あーそうだった！私まだ宿題してないんだったかなー
[koh420_030] ちょっとだけ部屋に戻ってようかな？廉兄も、ねえ？
[koh420_031] いいから！こっち来て……お兄ちゃんとレナさんも、頑張ってね？
[koh422_001] え、えっと……あはは、ごゆっくりぃ
[koh422_002] もー恥ずかしいこと言って、お兄ちゃん達の邪魔しないのっ
[koh423_001] レナ先輩とつきあい始めてから、お兄ちゃん、たまに外人さんみたいなオーバーアクションしてたけど
[koh428_001] それが……いきなり畑に入っていって、くれくれお願いってやりだしたんだよ、もー恥ずかしいったらなかったよ
[koh428_002] 嘘ばっかり！廉兄のことだから、どうせ自分が食べたかっただけの癖にっ
[koh501_001] あ、お兄ちゃん
[koh501_002] 何してるの？こんなところで
[koh501_003] お遣いの帰り
[koh501_005] え？　それって……街に戻っちゃうってこと？
[koh501_006] ……へ？そうなの？
[koh501_007] あれ？でも叢雨丸の責任で、その……婚約とか……してたんじゃないの？
[koh501_008] そっか。でも、戻ったりしないんだね
[koh501_009] えー！言いかけて止めるのは卑怯だよ、お兄ちゃん！
[koh501_010] そういう事されると余計に気になっちゃう
[koh501_011] ……子ども扱いしてるでしょ？
[koh501_012] ……むぅぅ。。。……
[koh501_013] まあいいけど。それで？今は志那都荘でお手伝い？
[koh501_014] そうなの？
[koh501_015] それで散歩してたの？
[koh501_016] ふーん……ゆっくり休める場所……
[koh501_017] あっ、じゃあお店で休んだら？
[koh501_018] ただ今戻りました
[koh501_019] あと、お客様もつれてきたよ
[koh501_020] 大変申し訳ありません。ただ今満席でして。お持ち帰りでしたら、用意できる物もあるのですが
[koh501_021] 大変申し訳ありません
[koh501_022] ご注文、お決まりになりましたか、お兄ちゃん
[koh501_023] え？なんでなんで？どうしたの？
[koh501_024] はーい
[koh501_025] ありがとうございましたー
[koh501_026] はぁ。。。……疲れたぁ。。……
[koh501_027] あ、うん、ありがとう
[koh501_029] でも、毎週こんな感じかな？　休日はやっぱりお客さんも多いから
[koh501_030] 働いてる私が言うのもなんだけど、美味しいからね。このお店の甘味
[koh501_031] あー、アレ！結構評判なんだよ
[koh501_032] 本わらび粉で作ったわらび餅だって！
[koh501_034] おじさんが聞いたら喜ぶと思うよ
[koh501_035] パフェとかわらび餅とか、簡単に作れるものなら、おばさんや私たちも作ることがあるよ
[koh501_036] って言っても、基本的には盛り付けとかだけだけどね
[koh501_037] 仕込みや下拵えとか、全部おじさん１人かな、多分？
[koh501_038] うん。かなり大変だと思う
[koh501_039] どうなんだろ？それを私に訊かれても……
[koh501_040] お姉ちゃん
[koh501_041] 原価、かかってるの？
[koh501_042] そっか
[koh501_043] まさに、ザ・職人！って感じだよ
[koh501_044] 私は学院もあって平日はあんまり入れないから、アルバイトしてる人が、あと２人いるよ
[koh501_045] ……んー……
[koh501_046] ねえ、お姉ちゃん。お兄ちゃんはどうかな？
[koh501_048] だから……お兄ちゃん
[koh501_049] うん
