=== yos (yos) 剧情配音文本 ===
共计 3208 句台词

[yos001_001] 初めまして、朝武芳乃です
[yos003_045] でも、絶対に大人しくしていて下さい！！
[yos003_046] ここに来てしまったものは仕方ありません。ですが有地さん――
[yos003_047] 祟り神の穢れは私が祓いま――すにゃぁっ！？
[yos003_048] 下がって下さい！ここは私が！
[yos003_049] にゃっぷっ！？
[yos003_050] ダメですっ！
[yos003_052] なっ、それは私の台詞ですっ。怪我をしていたかもしれないんですよ
[yos003_053] あそこからヒラリとかわす予定だったんです！
[yos003_055] そ、そうね。茉子が正しいと思う
[yos003_056] わ、わかってる。一刻も早く、お祓いを完了しないと……っ
[yos003_057] 今ならっ！
[yos003_058] 鉾鈴さえ突き立てることができればっ
[yos003_059] このぉぉぉぉっ！
[yos003_060] だ、大丈夫ですか？どこか、怪我をしたんですか？
[yos003_061] はい。穢れを祓えたので
[yos003_062] でも本当に凄いですね、叢雨丸って
[yos003_063] あんなに簡単に祟り神を斬れるだなんて……
[yos003_064] え？あ、はい。怪我はしていません
[yos003_065] いえ、大丈夫です。当たっていませんよ
[yos003_067] はい！？　な、なんですか！？
[yos003_068] い、いえ、怪我は特にありません
[yos003_069] そうですね、怪我がなくて本当よかった
[yos003_070] わけありますかぁぁーー！
[yos003_072] 妙に冷静に会話しないで下さい――ッ！
[yos003_073] それで？
[yos003_074] ですから、どうしてこんな無茶をしたんですか。『来ないで』と言ったはずなのに
[yos003_075] だったら――
[yos003_076] ……どうしてですか？
[yos003_077] ……恥知らず、ですか？
[yos003_079] そんなこと言って……また私の服を斬って、下着を見ようとしてませんよね？
[yos003_080] まあ……その事故については仕方ありません
[yos003_081] でもやっぱり今後は家で大人しくしているべきです、危険です
[yos003_082] ……強情な人ですね。頭、固すぎです
[yos003_084] なぁ、なんですかその失礼な言い方！　意地を張ってるのは有地さんです！　さっきの理由だって、結局は意地ってことですよね！
[yos003_085] やっぱり有地さんは家で大人しくして下さいっ
[yos003_086] 子供ですか！？
[yos003_087] わ、わたしも……ごめんなさい
[yos003_088] あ、うん。ありがとう、もう大丈夫だから、おやすみなさい
[yos003_089] はい……っ
[yos003_090] アレは……わかっているんです。事故ですから……恥ずかしいですが、仕方ありません
[yos003_091] で、できれば見なかったことにして下さい……本当に、恥ずかしいんです
[yos003_092] あんな風に、男の方に下着や肌を見られるだなんて……。。。。。。ッッ
[yos003_093] では、今度からは大人しくしていてくれますか？
[yos003_094] ………。はぁ……もういいです。結局、私が諦めるしかないじゃないですか……
[yos003_095] それと、先ほどはありがとうございました。助けて頂いて
[yos003_096] お礼が遅れてすみません。タイミングを逃してしまって……
[yos003_097] いえ……あの、その、えっと……
[yos003_098] ど、どう……いたしまして？
[yos003_099] いえ、その……あまりこういうことに慣れていなくて……どう返答すればいいのか、自信がなくて……
[yos003_100] な、なんで笑うんですか？やっぱり間違えていましたか？
[yos003_101] ではどうして笑ってるんですか……？
[yos003_102] 。。。
[yos003_103] ……別に。傷ついたというほどではありませんが……
[yos003_104] でもやっぱり失礼な人ですね、有地さんって
[yos003_105] は、はい。よろしくお願いしま――
[yos003_106] お腹、空いているんですか？
[yos003_107] どうでしょう？家事は、茉子に任せっきりですから……
[yos003_108] えーっと……冷蔵庫の中には卵。他には何もないですね。あと、こっちの棚に日持ちするものを保存してたはずだけど……
[yos003_109] 多分、使っても問題ないのは……と言うよりも、見つけられたのは卵とネギぐらいです
[yos003_110] それは大丈夫だと思いますが、でも卵とネギだけですよ？
[yos003_111] 作れるんですか？
[yos003_112] ちょっと意外……。あっ、ごめんなさい、失礼なことを
[yos003_113] そうだったんですか
[yos003_114] あ、はい。構わない……はずです
[yos003_115] 私は――
[yos003_117] ……はい、ありがとうございます
[yos003_118] ……ジー……
[yos003_119] あ、いえ。私は料理ができないので……興味がありまして
[yos003_120] 包丁を持つのは危ない、それは自分の仕事だって、茉子が全部やってしまうので
[yos003_121] いいんですか！？
[yos003_122] お言葉に甘えさせて下さい。ご指導、よろしくお願いします
[yos003_123] わかりました
[yos003_124] こう、角にぶつけるんですよね
[yos003_125] きゃっ！？殻が中に入って……失敗ですね。強く叩きすぎました……
[yos003_126] あ、やだ、白身がどろっとしてる……手がベトベト
[yos003_127] そうなんですか？
[yos003_128] あ、本当……こっちだと、殻が混ざりませんね
[yos003_129] こういう感じですね
[yos003_130] あ……また白身が、指にドロって……ヌルヌルしてます……
[yos003_131] ……よし。できましたっ
[yos003_132] なぜ……めんつゆを？
[yos003_133] そういうものなんですか
[yos003_134] これぐらいで大丈夫ですか？
[yos003_135] それで、次はどうすればいいんですか？
[yos003_136] え？もう焼くんですか？
[yos003_137] でも……砂糖がまだです。忘れていますよ
[yos003_138] ……え？砂糖ですよ？
[yos003_139] いえ、普通は入れますよね？
[yos003_141] またまたー。冗談を言っているのは有地さんの方じゃないですか
[yos003_143] 砂糖は入れます
[yos003_144] 入れますっ
[yos003_145] ますっ！
[yos003_146] 砂糖を入れないなんて邪道ですっ
[yos003_147] ぐぬぬ……
[yos003_148] 結婚なんてぜぇーーったい認めませんからぁっ！
[yos004_002] 茉子も、お疲れ様
[yos004_003] 有地さんも……お疲れ様でした
[yos004_004] お待たせして申し訳ありません
[yos004_005] な、な、な、なにを……っ
[yos004_006] 本人の目の前で、そんな変な話をしないで欲しいんですが……
[yos004_007] な、なに……その何か言いたそうな目は
[yos004_008] 行ってきます
[yos004_009] 今までに問題は起きていません。夜になる前に戻れば大丈夫だと思います
[yos004_010] ですから、できれば放課後はすぐに帰るようにして下さい
[yos004_011] おはようございます
[yos004_012] 玄十郎さんには普段からお世話になっていますから
[yos004_013] 職員室まで案内します
[yos004_014] 先生の用件に心当たりはありますか？
[yos004_015] 急ぎの用事があるわけでもありません。それに、先生の用件も少し気になりますから
[yos004_016] みづはさん
[yos004_017] 有地さんが山で怪我をしたときに診察してくれたのが、みづはさんです
[yos004_018] 特には。私自身は、いつもと何も変わりません
[yos004_019] 言ってもらえれば、私の方から出向いたのに
[yos004_020] 有地さんに、そこまで心配するほどの傷が？
[yos004_021] そういうことなら……
[yos004_022] わかっているとは思いますが、夜の山に近づかないようにお願いします
[yos004_023] それならいいんです
[yos005_001] 最近、起きてくるのが遅いですね。どうしたんですか？
[yos005_002] 夜更かしでもしてるんですか？
[yos005_003] 気の緩みは怪我の元です。よくないと思います
[yos005_004] お祓いには、無理に付き合うことはありません。私としては大人しくしておいて欲しいぐらいなんですから
[yos005_006] 有地さんも……ですか？
[yos005_007] そうなんです！それに、あのふわふわした食感も好きです
[yos005_008] 好みは半熟
[yos005_009] ――ソース！
[yos005_011] ソースですよね？
[yos005_012] ソース！
[yos005_013] お醤油なんて邪道です！
[yos005_014] ぐぬぬぬぅ
[yos005_015] それはない
[yos005_017] ここ数日、放課後はいつもどこかに行っていますよね？　何をしているんですか？
[yos005_018] ……あやしい……
[yos006_002] わかってる
[yos006_003] 神社で仕事の手伝いをすることになっているんです
[yos006_004] いえ、手伝いと言っても、社務所でお守りやおみくじなんかを売っているだけですから
[yos006_005] ありがとうございます
[yos006_006] 何かあるんですか？
[yos006_007] 力になれず、申し訳ありません
[yos007_002] 今日も……ですか？
[yos007_003] 別に謝ってもらう必要はありませんが。ここの所、多いですよね
[yos007_004] 別に謝ってもらう必要はありませんが
[yos007_005] その人が……有地さんが仰っていた方ですか
[yos007_006] 初めまして。朝武芳乃といいます。よろしくお願いします
[yos007_007] ひゃっ！？
[yos007_008] いえ、ちょっと静電気でビリッとしただけ
[yos007_010] ほっ……よろしくお願いします
[yos007_011] 茉子が教えていたの？
[yos007_012] とにかく、その方がいたから、ここに留学をしにきたんですね？
[yos007_014] ………
[yos007_016] ……有地さんのこと
[yos007_017] そうじゃなくて……、最近の有地さんは、本当にダラけ過ぎだと思う。寝坊したり、居眠りしたり……
[yos007_018] こんな調子のままなら、お祓いのときに危険だと思う
[yos007_019] それって……どういう意味？
[yos007_020] だから、朝は寝坊で放課後は遊びに行ってるんでしょう？本人がそう言っていたじゃない
[yos007_021] 何か隠し事をしてるって言いたいの？
[yos007_022] 有地さん
[yos007_023] 授業中、居眠りをしていましたよね
[yos007_024] それに最近は朝も遅いようです。眠れない理由でもあるんですか？
[yos007_025] ……体調が悪い時は無理しないほうがいいと思います
[yos007_026] お祓いが危険なことは、有地さんはわかっていると思いますが
[yos007_027] ………。こちらこそすみません。少しきつく言い過ぎたかもしれません
[yos007_029] ぃぃっ、んんっ……や、やだ、こんなところでぇ……
[yos007_031] あっ、あっ、んんんんんーーーーッッ
[yos007_032] そんなマジマジと見ないで下さい
[yos007_033] はい。特に問題というほどのことは……ありませんから
[yos007_034] 基本的にはそうですね。耳がキーンとして、身体が少し変な感じになりまして
[yos007_035] 有地さんの身体に残った穢れに反応したときは、むしろ例外です
[yos007_037] 体調がよくなければ、本当に家で休んでいて下さい
[yos007_038] ……はぁ……わかりました
[yos007_040] ……わかりました。それではまたあとで
[yos007_041] はい、さようなら。また明日
[yos007_042] わかってる。有地さん、気を引き締めて下さい
[yos007_043] 決して油断はしないように、お願いしますね
[yos007_044] 有地さん！？
[yos007_045] 有地さん
[yos007_046] 本当に大丈夫なんですか？どこか怪我は？
[yos007_047] それならいいんですが……
[yos007_049] そういうわけではありませんが……
[yos007_050] 構いません、先にお風呂を使っていただいて
[yos007_052] ぜーったいにあやしい
[yos007_053] 茉子の物わかりがよすぎる。それに……２人で怪しい会話までして
[yos007_054] まるで通じ合ってるみたいだった。なにか私に秘密にしていることがあるように見えたもん
[yos007_055] だからそういうのじゃないってば！違う、違うけど……気にはなる
[yos007_056] 有地さんのことで何か知ってるんでしょう？
[yos007_057] それってどんなこと？
[yos007_058] ……早起き？
[yos008_001] 最近、放課後が遅いのも、こういう鍛練をしてるから？
[yos008_002] どうして……いつから、こんなことをしてたんだろう……？
[yos008_003] ……え？私？
[yos008_005] なによ、それ……そんなの……そんなの
[yos008_006] 誠に申し訳ありませんっ
[yos008_007] 勝手にダラけているとか決めつけたりして、大変失礼なことを言いました
[yos008_008] 申し訳ありませんっ
[yos008_010] そんなわけにはいきません
[yos008_011] ダメです
[yos008_012] この償いはなんでもしますので
[yos008_013] 目玉焼きには醤油と言われれば……醤油をかけます。涙を呑んで、そ、ソースを……封印……しますっ
[yos008_014] それぐらいの覚悟ですっ
[yos008_015] 卵焼きの砂糖だって、封印してもいいと思っていますっ
[yos008_017] ………。わかりました
[yos008_018] それで、あの……具体的なお願い事とは？
[yos008_019] お願いとは、一体なんでしょうか？
[yos008_020] ………？認めるって……こ、婚約者……のことですか？
[yos008_021] そ、そこまで冷たい言い方はしてませんっ
[yos008_022] 仕方ないじゃない！祟り神に近づけないためだったんだから！
[yos008_023] 下手に仲良くなったりしたら、巻き込んじゃうでしょうっ
[yos008_024] 今は……普通じゃないですか？
[yos008_025] それって……結局、今までと変わらないと思いますが？
[yos008_026] それは……まあ、そうですね。険悪な雰囲気ですと疲れますから
[yos008_027] ムラサメ様ぁ！？
[yos008_028] 茉子まで！？
[yos008_029] ……くっ……申し訳ありませんでしたぁ
[yos008_030] それは……
[yos008_031] ダメじゃ……ないです。今後とも、よろしくお願いします
[yos008_032] 普通じゃありませんか？
[yos008_033] ……友達……
[yos008_034] 何卒よしなに？
[yos008_035] 若者、ですか……
[yos008_036] 可愛らしく……軽く……親しげに……可愛らしく、軽く、親しげに、可愛らしく、軽く、親しげに
[yos008_037] ヨ……ヨロピク、お願いします
[yos008_038] ――ッ！？
[yos008_040] うぅぅぅぅぅぅわああぁぁぁぁぁぁぁぁぁぁんっ
[yos009_002] んにゅ……おはようございます……
[yos009_003] ぅっ……んぅー……あ、有地さん……？
[yos009_004] ――ンッ！
[yos009_005] ぅむぅ……痛い……
[yos009_006] おはようございます、有地さん
[yos009_007] 大丈夫です
[yos009_008] それに、安心して下さい。昨日ちゃんと調べたんです。友達の挨拶を
[yos009_009] コホン。いきますよ？
[yos009_010] 有地さん、ちゃろー☆
[yos009_011] ……です……
[yos009_013] 都会では流行ってるって検索結果に出てきたのに……違うんですか？
[yos009_015] 見ないで、こんな私を見ないで下さいっ
[yos009_017] ……ぅぅ……すみません。その、なんというか……
[yos009_018] 私は今までに、その……普通のと、友達と呼べるような人はいなくて、どうしていいのか本当にわからなくて
[yos009_019] ……それじゃあ……
[yos009_020] おはようございます……有地さん
[yos009_021] そうですね……
[yos009_023] そ、そうで――え！？　ま、待って下さいっ
[yos009_024] それはできません
[yos009_025] だって、それは……その……ですね……わ、私が……使用したばっかりなので……
[yos009_026] ……ぅぅ……っ
[yos009_027] もう！どうしてわかってくれないんですか！少し時間をおいて欲しいんです！
[yos009_028] と言いますか……さっきはトイレの前にいましたよね？も、もしかして……お、音とかも……？
[yos009_029] それなら……いいんですけど
[yos009_030] そうですよね……一緒に暮らすってことは、こういうこともあるってことで……音の装置、買っておかないと
[yos009_031] そこをなんとかっ
[yos009_032] 私が気にするんですっ！
[yos009_033] あ、いや、別にに、匂いとかしないと思いますよ？思いますけど、なぜだか恥ずかしいんです！
[yos009_034] 私も困ってますっ
[yos009_035] せめてもうちょっと……
[yos009_036] ３０分ぐらい？
[yos009_037] 妥協して２９分では？
[yos009_038] ああっ、待って待って！待って下さい、せめてあと５分！
[yos009_039] ４分５９秒、あ、５８秒でも。もしくは大負けして５６秒とか！
[yos009_040] 後生ですからあと１分だけでも。。。っ
[yos009_042] とりあえず、音の装置を取り寄せておいて、茉子
[yos009_043] 今更ですが……、異性と同居って難しいですよね。気を遣わないといけないことが沢山あります
[yos009_044] 何ですか、それ
[yos009_045] 有地さんには、そういう石を集める趣味が？
[yos009_046] まさかそんな――
[yos009_047] 何か他に気になることが？
[yos009_048] 他に適した人はいないと思いますよ
[yos009_049] 確か……朝武が神主業を行うようになる際にも、色々アドバイスをしてくれたそうです
[yos009_050] 私も一緒について行きたいです……お願いします
[yos009_051] ですから基本的に、診療所に連絡を入れればみづはさんと話せるはずです
[yos009_052] 私も特には……
[yos009_053] えーっと……
[yos009_054] んきゃっ
[yos009_055] い、いえ、すみません。ちょっとビリッとしただけです
[yos009_056] はい。問題ありません
[yos009_057] 祟り神とは関係がないんでしょうか？
[yos009_058] そうですね、強いてあげるのなら……
[yos009_060] 私もです。漠然としすぎていて、なんとも言いづらいんですが……
[yos009_061] ムラサメ様がですか？
[yos009_062] それでは、失礼します
[yos009_063] 有地さん？
[yos009_064] そうですか……わかりました
[yos009_065] 思ったより長かったですね
[yos009_066] ……いえ、まあ……ここまで来て、先に行くのもどうかと思ったので
[yos009_067] それが普通の友人だと思ったんですが……ダメでしたか？こっ、こういう場合は、素直に先に行くべきだったんでしょうか！？
[yos009_068] そ、そうですか、よかった。私、本当に……友達……というのに慣れていなくて
[yos009_069] はい
[yos009_070] お、お邪魔でないのでしたら……
[yos009_071] 気を遣っていただいてありがとうございます、リヒテナウアーさん
[yos009_072] ……いいんですか？
[yos009_073] で、では…………コホン
[yos009_074] レ、レレレ、レナ……さん。私のことも、芳乃と……
[yos009_075] 。。。。。。ッ
[yos009_076] い、いえ、これは緊張しただけですから
[yos009_077] その……あの……こんな風に、名前を呼んだり、呼ばれたりすることに慣れていなくて
[yos009_078] レナさんが気にならないのでしたら、ヨシノと呼んで下さい
[yos009_079] それじゃあ……あむ……んっ、美味しい
[yos009_080] こ、こちらも……よろしければどうぞ
[yos009_081] いえ、これは茉子が作ってくれたんです
[yos009_082] 金平ごぼうのことではありませんか？
[yos009_083] はい、構いませんよ
[yos009_084] それでは、またあとで
[yos009_085] あ、ちょっと待って。誰かから電話が……みづはさん？
[yos009_086] あの……有地さん、いますか？
[yos009_087] 失礼します。あ、ムラサメ様。戻っていらしたんですね。お帰りなさい
[yos009_088] 山の方は、どうでしたか？
[yos009_089] わかりました。申し訳ありませんが、よろしくお願い致します
[yos009_091] あの……有地さん！
[yos009_092] 少し、時間をいただけませんか？話したいことがあります
[yos009_093] 後程、全てお話します。夕食後に私の部屋でいいですか？
[yos009_094] ありがとうございます
[yos009_095] はい、どうぞ
[yos009_096] すみません、お呼び立てして。有地さんと話がしたくて
[yos009_097] ……呪詛の話です。資料を借りたんですよね
[yos009_098] みづはさんから謝られました。呪詛に関する資料を勝手に渡した、と
[yos009_099] え？い、いえ、違うんです。私は別に、怒ったりしていません。頭を上げて下さい
[yos009_100] そうではなくて……むしろちゃんと説明をするべきだと、考えてはいたんです
[yos009_101] 私は、ずっと隠し事をしていて……そのことは有地さんも気付いてましたよね
[yos009_102] それは少し違います。私が、知られたくなかっただけです
[yos009_103] 正直に言えば、知ってもらう必要があるのかどうか……今も少し迷っています
[yos009_105] だから、ちゃんと言いたいんです。自己満足みたいなものなんですが……聞いてもらえますか？
[yos009_106] 有地さんは、みづはさんの資料には目を通しましたか？
[yos009_107] では何か疑問に思いませんでしたか？
[yos009_109] 産まれませんよ、男の子は
[yos009_110] 朝武の家に男の子は産まれていません、ここ数百年、１人たりとも
[yos009_111] 駒川家には、家系図も詳細に残されているんですが、それらは資料には含まれていませんよね？
[yos009_112] きっと、私の口から言った方がいいと思ったんです、みづはさんも
[yos009_113] 有地さんが疑問に思った通りです。強力な呪詛の力が、耳という形をなして現れただけで、呪いの効果は他にあるんです
[yos009_114] というよりも朝武を断絶させるためだと思います
[yos009_115] そして朝武の家に産まれる子供は１人だけです
[yos009_116] そこは……私たちにもわかりません。２人目に関してはただの偶然かもしれません
[yos009_117] ２人目を産もうとする人が少なくて。まず母親の身体がもたないんです
[yos009_118] 朝武は若死にの家系なんです。一番長く生きた人でも５０歳程度。私のお母さんは、少し前に他界しました
[yos009_119] とはいえ……子供を産まずに亡くなった人はいません
[yos009_120] 私も健康に問題はありませんから、すぐにどうこうなることはないと思います
[yos009_121] 私は、この呪いを解かなくてはいけないんです。じゃないと……
[yos009_123] すみません。今の言葉は聞かなかったことにして下さい
[yos009_124] とにかくこれが……私が隠していたことです
[yos009_125] 違います。最初に言いましたが、私が有地さんに知っておいて欲しいと思ったんです
[yos009_126] だから……謝ったりしないで下さい
[yos009_127] 何かして欲しいことがあって打ち明けたわけではありません。改めて欲しい態度があるわけでもありません
[yos009_128] 正直に向き合わなければいけない、そう思っただけなんです
[yos009_129] 有地さんには、気にして欲しくないと言いますか……今まで通りのままでいて欲しい……です
[yos009_131] あ、あの――
[yos009_132] ………………はい、すみません。ちょっと被害妄想が強かったかもしれません
[yos009_133] ……はい
[yos010_001] なにかお困りごとですか？
[yos010_002] 私はいつも通り、舞の奉納をして……あとは勉強ぐらいでしょうか
[yos010_003] もしかして、そこに私たちもですか？
[yos010_004] 別に……構いません。それぐらいでしたら
[yos010_005] 気にしないで下さい。お互いのことを知り合うって、約束ですから
[yos010_007] 別に怒ってるわけじゃない
[yos010_008] それは、だって……
[yos010_009] 友達と遊びに行くなんてどうすればいいの？遊びに行くなんて初めてで、すごく緊張する……心臓がドキドキしてきた……
[yos010_010] せ、正装とかした方がいいの？
[yos010_011] でもせめて、新しい服を用意した方が
[yos010_013] それが一番難しい。本当に、どうしよう……
[yos010_014] なに？
[yos010_015] 面白がっていないで助けて！
[yos010_016] それじゃあお父さん、ちょっと出かけてきます
[yos010_017] すみません、ムラサメ様。なんだか、お任せしてしまって
[yos010_019] ……ありがとうございます
[yos010_020] それって……
[yos010_021] はい、何でしょう？
[yos010_022] わかりました。では服を買いに行きましょうか
[yos010_023] 服はこちらで売っていますよ
[yos010_024] 品揃えは豊富ですから、大丈夫だと思いますよ
[yos010_025] それでは、田心屋に行きましょうか
[yos010_027] ……お兄ちゃん？お２人は……従兄妹ですよね？
[yos010_028] その、ですね……確かにお互いのことを知り合うとは言いましたが……
[yos010_029] これはちょっと……さらけ出し過ぎではないかと
[yos010_030] 大丈夫です、友達ですからね。……受け入れる努力はします
[yos010_031] こんにちは
[yos010_032] ありがとうございます
[yos010_033] ありがとうございます
[yos010_034] こんにちは
[yos010_035] ありがとうございます
[yos010_037] どうしよう……どれを食べればいいんでしょう。お団子……白玉……ぅぅ～、悩むぅ……
[yos010_038] プリンなんて久しぶりです。しかもコンビニじゃないプリンは初めてかも……ふふふ、楽しみ。
[yos010_039] ありがとうございます
[yos010_040] はぁぁ……プリン……
[yos010_041] それでは、いざ。いただきます
[yos010_043] はぅふぁ～～……美味しい……とっても美味しいです
[yos010_044] えっと、えっとですね、なんというか、こう……甘くて……上手く言えないんですが――
[yos010_045] とにかく美味しいと思いますよ
[yos010_046] はぁ……美味しいぃ……
[yos010_047] すみません、突然お邪魔してしまって
[yos010_048] 今日は暑いですから……人混みは避けた方がいいかもしれませんね
[yos010_049] 日頃からちゃんと舞を奉納してます。日が落ちる前に戻れば問題はないはずです
[yos010_050] お昼に入ったことはありますが、一度も遭遇したことはありません
[yos010_051] 耳も……特に反応してませんから。祟り神は大丈夫だと思います
[yos010_052] 私も、念のために鉾鈴を持って行こうかな？
[yos010_053] はい？なんですか？
[yos010_054] 自前のサオ？
[yos010_055] そういうの……仲間外れみたいで気になるんだけど……
[yos010_056] 鉈で釣りをするんですか？
[yos010_057] ここは、朝武の所有地ですから。気にしなくて大丈夫ですよ
[yos010_058] そんなことはありません。しがない田舎の神社ですから
[yos010_059] どこのご家庭でも山の１つや２つは持っているものですよ
[yos010_060] 私、釣りなんて初めてです
[yos010_061] だ、大丈夫だったんですか？
[yos010_062] スカンポ？
[yos010_063] 確かに、よく見かけはしますが……食べられるんですか？
[yos010_064] 美味しいんですか？
[yos010_065] ……ジー……
[yos010_066] いいんですか？
[yos010_067] 皮をむきます
[yos010_068] 齧りますっ
[yos010_069] しゅっぱっ！？しゅっぱいっ！
[yos010_070] 嘘吐き……騙しましたね、こんなの生で食べる物じゃありませんよね
[yos010_071] 本当に生で食べるんですか？こんなにしゅっぱいのに……
[yos010_072] こんなに酸っぱいのに、おやつになるんですか？
[yos010_074] 驚かさないで、もうっ
[yos010_075] 私、食べてみたい……
[yos010_076] あの、私は釣りをしてみたいのですが……いいですか？
[yos010_077] 茉子、気を付けてね。何かあったら大声を出して
[yos010_078] はい。それであの……釣りの仕方を、教えてもらえますか？
[yos010_079] なにか特別な餌を使ったりするんですか？
[yos010_080] はい、大丈夫です
[yos010_081] なんですか？
[yos010_082] 虫関係は自分で対応しないと、家でもいろいろ出ますからね
[yos010_083] カメムシですとか……梅雨の時期になったら、朝起きたらムカデが枕元なんかにも
[yos010_084] ムカデは苦手ですか？
[yos010_085] 基本は殺虫剤ですね。なければお湯でしょうか？
[yos010_086] はい、わかりました
[yos010_087] 引っ張られるって、どんな感触なんでしょう？
[yos010_088] そうなんですか……きゃっ、今、ビクンって
[yos010_089] あ、やだ、ビクビクしてますっ
[yos010_090] いいんですか？上げちゃっていいんですか？
[yos010_091] あ！ちゃんと食いついてます！釣れました！
[yos010_092] これはなんていう魚ですか？鮎ですか？岩魚ですか？
[yos010_093] 食べられるんですか？
[yos010_094] はい！
[yos010_095] 手元に引き寄せて……あっ、ビクンビクンって、やだ、ヌルヌルしてます
[yos010_096] ぅぅー……ひっ、あっ、やだっ……ヌルッとしていて……ちょっと苦手です
[yos010_097] い、いえ。ここまで来たら、最後まで自分でやりたいんです
[yos010_098] で、でも、アドバイスをもらえませんか？
[yos010_099] そ、そうですか……耐えるしかないんですか
[yos010_101] はい。針で怪我をしないように、そーっと……
[yos010_102] 取れました！あ、またビクビクって
[yos010_103] 私が釣ったお魚さん、ふふふ
[yos010_104] ………？なんですか？
[yos010_105] 嘘です
