=== 马庭芦花 (rok) 剧情配音文本 ===
共计 1426 句台词

[rok001_002] ……んー……あの
[rok001_032] で、よくわからないことも増えて『お前に任せる』って押し付けられちゃったわけ
[rok001_033] 身分を隠して街を歩いてお客さんの本音を聴く。これもお仕事
[rok001_034] スケルスマーケティングってやつだよ！
[rok001_035] 全体的にお客さんが増えてるのは事実だよ。ネットで気軽に色んな噂が広まるからね
[rok001_036] 穴場の温泉地として、外国のサイトに載って、口コミが広まってるんだって
[rok001_037] あとは、今日は“春祭り”だから。それが目的の人たちが多いんじゃないかな？
[rok001_038] あれ？そうだっけ？
[rok001_039] んー……そこそこ？割合的には、欧米のお客さんが増えるね
[rok001_040] 春祭りってね、男の人が甲冑を身につけて、馬に跨って街中を練り歩くから
[rok001_041] コホン。遡ること数百年前、野望を抱く者たちが乱立する戦乱の世に、とある怪しげな女がおりました
[rok001_042] その女はなんと、権力者にすり寄り、寵愛を得て、男を狂わせ、乱を起こす妖怪だったのです
[rok001_043] 妖怪にそそのかされてしまったのが、穂織の隣国の大名。野望のために穂織の土地に攻め込んでくるではありませんか！
[rok001_044] 妖術を使う相手に大苦戦！落城寸前で諦めにも似た思いで祈祷を行うと、あら不思議
[rok001_045] なんと妖怪に対抗する刀“叢雨丸”を授かったのです
[rok001_046] その刀で妖怪を退治すると、隣国の兵たちは敗走。こうして穂織の土地に平和が訪れましたとさ
[rok001_047] ちゃんちゃん
[rok001_048] その勝利を祝ったのが春祭りの元。戦に勝利して戻ってきた兵たちを模して、甲冑武者の練り歩きが行われてるの
[rok001_049] で、最後に神社で巫女姫様が舞を奉納するんだよ
[rok001_050] あーそうそう。ちなみに、妖怪との戦いの余波で大地が割れて、温泉が湧き出したとも言われてるね
[rok001_051] あはは、まーね。確かにこの話を信じてる人なんていないだろうね
[rok001_052] でも、こういうわかりやすい話って重要だったりするんだよ？特に海外の人には
[rok001_053] 神秘の国オリエンタル日本
[rok001_054] 世の中、人気のある観光地なんて沢山あるからね
[rok001_055] どれだけしょっぱい武器だとしても、ないよりマシでしょ？
[rok001_056] 重要なのはその引っ掛かりをどう活かすか。アイディアでカバー
[rok001_057] 性能の違いが戦力の決定的差ではない、って昔の偉人も言ってた
[rok001_058] とにかくね、外から人を呼び込むことが重要ってことだよ
[rok001_059] 寄り付かないどころか、目的地を言うとタクシーで嫌な対応をされるって不満も上がるぐらい
[rok001_060] 路線バスの本数も全然増えないしね
[rok001_061] 色々と申請はしてるんだけど……相変わらずの対応ばっかりだよ
[rok001_062] まあまあ、久々に会ったんだからそんな寂しい話は無しで
[rok001_063] せっかくだから、まー坊も練り歩きを見てく？
[rok001_064] 結構人気なんだよ、玄十郎さんのお宿。接客も丁寧で、ご飯も美味しくて
[rok001_065] 建物も古風な感じで、外国人のお客さんにも大人気
[rok001_066] あ、そっか。玄十郎さん、春祭りの実行委員になってたんだ
[rok001_067] それじゃあ、神社から離れることはできないかな
[rok001_068] そりゃもう。風邪も引かない、背筋もシャンとしてて、足腰バッチリ
[rok001_069] 竹刀の素振りも毎日欠かしてないみたいだよ
[rok001_070] まー坊は？元気に剣道してる？
[rok001_071] あれま、どうして？
[rok001_072] なんか自然消滅する男女みたいだね
[rok001_073] 流石にとって食われたりはしないよ
[rok001_074] お、ちょうど今、巫女姫様が舞を奉納してるみたいだね
[rok001_075] まー坊、まー坊。そんな興味なさげにしてないで、ちょっとぐらい舞を見てみない？
[rok001_076] 巫女姫様の舞は結構凄いんだよー
[rok001_077] 観光のお客さんにも評判でね。お祭りの見どころの一つになってるの
[rok001_078] ほらほら、ここからでもまー坊の背丈なら見えるでしょ
[rok001_079] まー坊？
[rok001_080] どうだった？巫女姫様の舞は
[rok001_081] 巫女姫様の舞は春祭りだけじゃなくて、祭祀でも披露されるから、機会はいくらでもあるよ
[rok001_082] さてと、それじゃあ玄十郎さんのところに行く？
[rok001_083] まだここにいると思うんだけど……あっ！
[rok001_084] 廉太郎ー！小春ちゃーん！
[rok001_085] はい、ヤメヤメー。兄妹のじゃれ合いはそこらへんで
[rok001_086] それよりも玄十郎さんはどこにいるのかな？
[rok001_087] あー、アレねー
[rok001_088] この建実神社の御神刀だよ。話ぐらいは聞いたことあるんじゃない？
[rok001_089] あの御神刀こそ、伝承にある妖怪を退治した刀『叢雨丸』なんだよ
[rok001_090] アタシたちでも、イカサマなんて話は聞いたことないよ。それに、バカにしたら親に叱られちゃうしね
[rok001_091] さすがにそれはないよ。もっと気を楽にしていいんじゃない？
[rok001_092] まーねー……廉太郎はかなりヤンチャだもんね。子供の頃だけじゃなく、今でも……むふふ
[rok001_093] あ、図星だー。それで？結果はどうだった？
[rok001_094] 何打数？
[rok001_095] 玄十郎さんに何度も怒られてるのに、懲りないよねー
[rok001_098] ―――ッ！？
[rok001_099] えっと……えっと……あ、あはは、ありがとう
[rok010_001] いらっしゃいませ、お客様
[rok010_002] 小春ちゃん、今は仕事中でしょう？まずはご案内
[rok010_003] 本日はご来店いただき、誠にありがとうございます
[rok010_004] 巫女姫様まで。どうぞ、ごゆるりとお過ごし下さい
[rok010_005] よろしくお願い致します
[rok010_006] 馬庭芦花です。よろしくお願い致します
[rok010_007] 働きながら留学ですか？大変そうですね
[rok010_008] なにか困ったことがあれば、いつでも声をかけて下さい
[rok010_009] 微力ながら、お手伝いさせていただきます
[rok010_010] はい、お任せ下さい。こちら、メニューでございます
[rok010_012] いや、もしかしなくても、甘い物好きでしょう。あの顔は
[rok010_013] でも意外。巫女姫様があんな顔をされるなんて。失礼だけど、確かに可愛い
[rok010_014] ウチもパフェを置くようになったのは、アタシが経営に関わるようになってからだしね
[rok010_015] んー……誰もいない、ってことはないと思うんだけど……
[rok010_016] 穂織って山を拓いたりもしないでしょう？
[rok010_017] 観光客のおかげでそれなりに潤って、空いてる店舗もないから。新規参入はしたくても難しいんだよ
[rok010_019] あと……色々苦労してきた意地もあるかもね
[rok010_020] 美味しいところだけ吸われるのが嫌とか
[rok010_021] まあ、だからこそウチみたいな店に、手を広げるチャンスが転がってるわけだけど
[rok010_022] お姉さん、色々頑張っちゃうよー！
[rok010_023] さてと、アタシもいつまでも話してちゃダメだよね、世間話はおしまい
[rok010_024] お客様、ご注文は如何いたしましょうか？
[rok010_025] かしこまりました。少々お待ちください
[rok010_026] お待たせいたしました、和紅茶とグリーンティーにプリンでございます
[rok010_027] ありがとうございます
[rok010_029] そうだよー。最初は『洋菓子なんて作らん！』って\\n言い張ってたのを何とか説得してね
[rok010_030] 文句言うぐらいなら、経営を任せるなんて言わないで欲しいなぁ……厄介ごとばっかり押し付けるんだから、もぉ……
[rok010_031] 都会にも負けてないって言われると嬉しいものだね。材料にこだわったかいがあったよ
[rok010_032] そりゃもう。作り始めたら、全然妥協してくれなくて
[rok010_033] いくら言っても原価を無視して作るんだから……頭痛いよぉ
[rok010_034] ありがとうございます。上手く宣伝できるように、頑張ってみます
[rok010_035] できるよ。プリンもパフェもお団子も
[rok010_036] 中で出すよりも簡単な盛り付けにして、その分値段も下げてね
[rok010_037] 食べ歩きできるようにした方がいいかな、って
[rok010_039] どうしても
[rok010_040] はいはい。小春ちゃんはこっちに来てお仕事、お仕事。
[rok103_001] あれ？
[rok103_002] まー坊ってばこんな時間に何してるの？サボり？
[rok103_003] でも、まー坊が理由もなしにそんなことするとは思えないしね……なにかあったの？
[rok103_004] それって巫女姫様？それとも安晴さん？
[rok103_005] 病気？
[rok103_006] そうなんだ……それは心配だね
[rok103_007] そっか。で？まー坊は看病もせずに、こんなところで何してるの？
[rok103_008] 探し物？手伝おうか？
[rok103_009] そう？遠慮なんてしないでいいよ
[rok103_011] いやさー、まー坊もいつの間にか男の顔をするようになったんだなぁーって
[rok103_012] ぷぷっ、照れてる照れてる、そういう意味じゃないってわかってるくせに。顔が赤いよー？
[rok103_013] サボりじゃないよ。買出しの途中なんだから、ちゃんとお仕事中です
[rok103_014] でも巫女姫様が風邪か……。何かお見舞いを用意した方がいいかな？
[rok103_015] んー……巫女姫様に気を遣わせるのも、それはそれで申し訳ないしねぇ
[rok103_016] 本当に軽い風邪なんだね？
[rok103_017] なら大事にはしない方がいいかな……あっ、そうだ。いいのがあった
[rok103_018] 悪いけど、お見舞い半分、おすそ分け半分で、果物を持って帰ってもらえる？
[rok103_019] お店の仕入れをお願いしているところがね、サービスで質のいいさくらんぼを格安にしてくれたの
[rok103_020] それはありがたい話だったんだけど……調子に乗ったお父さんが、多めに注文しちゃってね
[rok103_021] そういうドンブリ勘定が経営を圧迫するって言っても聞きやしない……ぅぅ……胃が痛いぃ
[rok103_022] ありがとう、まー坊……
[rok103_023] で、腐らせても仕方ないから。美味しいうちに食べた方が果物も嬉しいだろうしね
[rok103_024] そんなわけで、持って帰ってもらえる？
[rok103_025] ありがとう。じゃあ悪いけど、お店までついてきて
[rok103_026] んー？なに？
[rok103_028] も・し・か・し・て、贈り物の相手って女の子？　恋の相談だったりする？
[rok103_029] いやーん、お姉さん大好物だよ、そういうの
[rok103_030] 田舎には娯楽が少ないんだよぅ
[rok103_031] で？で？どうなのどうなの？まー坊ってば恋なの？恋にゃの。？
[rok103_032] 巫女姫様が風邪。まー坊も学院を休んでる。突然贈り物の話。あ、さっき『自分で見つけたい』とも言ってた
[rok103_033] もはや誤魔化すのは無理じゃない？
[rok103_034] それ犯人の台詞
[rok103_035] あ、顔が赤い。状況証拠がまた増えたよ。ぷぷぷ、初心なんだから。
[rok103_036] わかったわかった。あんまりイジメるものよくないしね。今日はコレぐらいにしておいてあげましょう
[rok103_037] で、なんだっけ？あ、そうそう、女の子への贈り物だっけ？
[rok103_038] はいはい。そうだねー。贈り物には、やっぱり相手が欲しがってるものをあげるのが一番だけど……
[rok103_039] 病で臥せてる人が相手なら、性別は関係ないんじゃないかな？
[rok103_040] 人間として何をされると嬉しいかを考えるべきだよ
[rok103_041] はいはい。そういう時に重要なのは気持ちだよ
[rok103_042] 気持ちと言ってもね、曖昧なことじゃないよ。たとえば……
[rok103_043] いくら高級なお肉だとしても、風邪で身体が弱ってる人に焼肉やステーキは辛いでしょう？
[rok103_044] 気持ちを込めるって言うのは、自己満足じゃなく、相手のことを慮るってこと
[rok103_045] ほら、料理は愛情って言うじゃない
[rok103_047] 食べてくれる人のことを想って丁寧に、面倒なことでも省かず、ちゃんと調理するってことだと思うの
[rok103_048] 女の子に向かって歳の話をするのはこの口か、この口かぁっ
[rok103_049] 言っていい冗談と悪い冗談があるでしょうがッ
[rok103_050] むっ……言い訳が上手になったね、まー坊
[rok103_051] 視線をそらしながら言うんじゃありません
[rok103_052] まあとにかく、重要なのは自己満足にならないこと。わかった？
[rok103_053] いーえ。どういたしまして
[rok103_054] さてと。じゃあ、適当に座って待ってて。すぐに持ってくるから
[rok103_055] お待たせー。はいこれ、さくらんぼ
[rok103_056] ん？改まってなんだろ……？
[rok103_057] プリン？
[rok103_058] プリン……厨房……
[rok103_059] あっ、あー、あー。そういうことか。なるほどね
[rok103_060] んー……協力してあげたいと思ってるけど、作ってるのはお父さんだから……
[rok103_061] そんな冷たい事言わなくても。まー坊にとって重要なことなんだよ、これは
[rok103_062] そりゃまあそうだけど……
[rok103_063] ……ああ、なんだそういうことか。素直じゃないんだから。面倒くさい親だなぁ……
[rok103_064] ということで、別にいいみたいだよ、まー坊
[rok103_065] 手取り足取り教えたりしないけど、今から作るから見て盗めって言ってるんだよ
[rok103_066] そういうことなの。捻くれ者なの、お父さんって
[rok103_067] はいはい。わかってますよ
[rok103_068] じゃあまー坊、こっちきて。厨房で作業するなら、服を着替えて消毒もしてもらわないと
[rok103_069] 意外と時間かかっちゃったね。出来栄えの方はどう？
[rok103_070] そっか。それなら安心していいよ
[rok103_071] 捻くれてるけど、自分の作る物にはとことん真っ直ぐだから
[rok103_072] ううん。アタシが何かしたわけじゃないから。それに気を抜くにはまだ早い
[rok103_073] 本番はここからでしょ？
[rok103_074] ほら、せっかくの出来立てのプリンなんだから。早く帰った帰った
[rok103_075] あ、さくらんぼも忘れないようにね
[rok105_001] ほほぅ。。それでアタシに？なるほどなるほどふっふっふ。さすがお目が高い
[rok105_002] 構いませんよ。恋は不治の病とも言いますけれど、病気の人がいる中、優先してもらうわけにもいきませんしね
[rok105_003] 今はちょうど、他のお客さんもいませんから。アタシにお任せ下さい
[rok105_004] ピシ……ッ！
[rok105_006] ………
[rok105_008] …
[rok105_010] ……ありません。申し訳ありません
[rok105_011] ですがそれでも年上には違いありません。お任せください。多少なりともアドバイスはできると思います
[rok105_012] 何故かそういうことに縁遠くて
[rok105_013] たまにあっても、遊んでそうな人はちょっと……
[rok105_014] それに、お客さんをそういう目で見たりもしないから
[rok105_015] ここは観光地ですから。うちの父が、できる限り休むな！と言っておりまして
[rok105_016] ……もしかして、わざとじゃないの？この前『嫁になんて行かなくていい……』とか言ってたし……
[rok105_017] アタシもビックリした！というか、吹き出しそうになっちゃった。こんなマンガみたいなこと言う人いるんだって
[rok105_018] でもいつか『誰かいい相手はいないのか？』ってしんみりしちゃうようになって
[rok105_019] ――ってアタシの話はいいの！それより巫女姫様の相談！
[rok105_021] そうですね……歯がガチガチ当たったり、ヨダレがベチャベチャするのは……ちょっと下品かもしれませんね
[rok105_022] 逆に上手いキスは、唇を合わせるだけで、幸せな感情が広がって、全身から力が抜けちゃったりしちゃうらしいですよ
[rok105_023] ふふふ。戦いは情報。情報集めには余念がないからね
[rok105_024] ――あぅッ！？小春ちゃん、今日はなんだか厳しくない……？
[rok105_025] それは追い打ちだよぅ……グスンッ
[rok105_026] とにかく、重要なのはやっぱり口臭対策。口の中を綺麗にすることではないでしょうか
[rok105_027] ここで気をつけたいのは体調。口の中を清潔にしてても、体調不良で臭いが……ってこともあるそうです
[rok105_028] ですから、キスをするためには健康管理も大事です
[rok105_029] 重要なのは緊張しすぎないことではないでしょうか？リラックスですよ、リラックス
[rok105_030] 緊張しすぎると、デートの段階で色々失敗するでしょうから。気楽にすることが一番です
[rok105_031] あ！では、免疫をつけられては如何でしょう？
[rok105_032] 違う違う。そこまで実践的な事じゃなくて、もっと知識の部分
[rok105_033] お尋ねしますが、巫女姫様は今までにこういった恋愛に関する知識を入手したことはありますか？
[rok105_034] まず知識を手に入れましょう。そうすればきっと、デートに対する緊張も少しは和らぐのでは？
[rok105_035] というわけで！デートの勉強をしましょう
[rok105_036] そこで活躍するのが、マンガです。少女マンガ
[rok105_037] それでも、情報がないよりはマシだと思います
[rok105_038] というわけで、デートシーンのよさげなマンガを選んできます
[rok105_039] いえいえ、迷惑なんてことは。巫女姫様からの相談ですし、まー坊は幼馴染ですから
[rok105_040] お気になさらないで下さい。これぐらいなんでもありません
[rok105_041] 小春ちゃん、すぐに戻ってくるけど、お客さんが来たらよろしくね
[rok105_042] では、少々お待ち下さい。すぐにお持ちしますので
[rok105_043] お待たせいたしましたー。こちらが参考資料のマンガでございます
[rok105_044] んー……色仕掛けの参考になる、のかなぁ……？
[rok105_045] ん？なにかな？
[rok105_046] ……え？
[rok105_047] さすがにそれは大丈夫じゃないかな？
[rok105_048] 現実的に考えて、あり得ないってわかるよ。だって髪にみたらし団子だよ？
[rok105_049] 気が付かない人なんているわけないじゃない
[rok105_050] そうそう
[rok105_052] さ、そんなことよりお片付け。お片付け
[rok106_001] ちゃんと注文してもらえるなら
[rok106_002] はい。かしこまりました
[rok106_004] いえ大したことではありません。まー坊も男になったもんだねぇ、と思っただけですよ、お客様
[rok106_005] こちら、ほうじ茶ラテになります
[rok113_001] ２人ともすっかり、彼氏彼女になりましたね
[rok113_003] 見ててニマニマできる感じかな？
[rok113_004] 空気が様になってるっていうのかな……とってもお似合いで“ああ、愛し合ってるんだなぁ”って見てわかる
[rok113_005] “末永く爆発して下さい、お客様”っていう感じかな？
[rok113_006] そのポジディブさに腹が立つ
[rok113_007] でも、実際お似合いだと思います。巫女姫様はまー坊と交際を始めるようになってから、雰囲気も変わったって評判ですよ
[rok113_008] ――あっ、申し訳ありません。噂なんてご本人に聞かせるものではないのに
[rok113_009] いえ！雰囲気が柔らかくなって、前よりも明るく――と言いますか、よく笑われるようになったってみんな言ってるだけです
[rok113_010] 実際、アタシも同じ印象を受けまして……って、別に昔は怖かったとか、そういう話でもありませんよ！？
[rok113_011] ……だから、そういうところがねぇ
[rok113_012] んー……おバカなところに磨きがかかったかもね
[rok113_013] ちょっとしたユーモアでございます、お客様
[rok113_014] はいはい。ご馳走様でございますよー
[rok113_015] 店員にそんなこと言わないで欲しいなぁ……はぁ……アタシも、いつか……
[rok113_016] の前に、仕事しなきゃ。ご注文は如何なさいますか、お客様？
[rok113_017] 畏まりました
[rok205_001] いらっしゃいませー
[rok205_002] あれ？まー坊と常陸さん？どうしたのこんな時間から
[rok205_003] 事情ねぇ……まー坊が適当にサボるとは思ってないし、常陸さんも一緒ならそれなりの理由があるんだろうけど
[rok205_004] 事と次第によっては、玄十郎さんに報告するよ？
[rok205_005] それは構わないけど
[rok205_006] それで？こんな時間に、うろちょろしてるのはなんでかな？
[rok205_007] 玄十郎さんに電話した方がいい？
[rok205_008] デート……！？まー坊と常陸さんが！？
[rok205_009] えー、なんでなんで。？もしかして２人って、付き合い始めたの。？
[rok205_010] だってデートだよ、デート！気にならないはずがないじゃな。い
[rok205_011] というか……さっきの話は嘘でしょ？
[rok205_012] 玄十郎さんに許可をもらってるって話。デートでサボりなんて許すわけないよ
[rok205_013] ほぉ。う、自信満々。これは本当みたいだね
[rok205_014] それで……デートをしてるの？
[rok205_015] じゃあ２人は別に、付き合ってるわけじゃないんだ？
[rok205_016] まー坊が恋人役か……じゃあ、しっかりリードしなきゃね
[rok205_017] さてと。それではお仕事お仕事。、コホン
[rok205_018] いらっしゃいませ、お客様。ご注文は如何なさいますか？
[rok205_020] いえ、失礼致しました
[rok205_021] すぐにお持ちいたしますので、少々お待ち下さい
[rok205_024] 口をはさむのはどうかと思ってたけど、２人があんまり過ぎるから！　もう見てられない！
[rok205_026] なのにお見合いをしてどうするの！　お見合いとデートは違うんだよ？
[rok205_027] 常陸さんも！
[rok205_028] デートならもっとデートらしい注文があると思うな
[rok205_029] 例えばパフェやわらび餅を一緒に注文して『あーん』をするとか、恋人らしいイベントが
[rok205_030] ご注文は承りましたが、他にも言いたいことはあります
[rok205_031] 恋人なら正面じゃなくて隣に座るとか
[rok205_033] 不自然なことをするからこそ胸がドキドキする。それを楽しむのが、恋人ってものなんだよ
[rok205_034] まあ……正直に打ち明けると、マンガで読んだことあるだけなんだけどね
[rok205_035] ん。？まー坊は口を縫い付けて欲しいのかな。？
[rok205_036] ぐすん……どうせ、いい歳して処女ですよ。マンガを読んで想像してるだけの干物女ですよ
[rok205_037] まー坊……
[rok205_039] 本当、まー坊は生意気になったもんだね
[rok205_040] デートもロクにできやしないくせにっ
[rok205_041] まあ……本当はアタシも人に偉そうなこと言える立場じゃないんだけど
[rok205_042] まー坊、ダメだよ、デート中に他の女の子とイチャイチャしてちゃ
[rok205_043] なんのことでしょう、お客様？
[rok205_044] コホン。とにかくデートっていうのは、もっとドキドキしてこそ
[rok205_045] という事で常陸さん。ちょっと行こうか
[rok205_046] さっきも言ったでしょう？恋人同士っていうのは、ちょっと不自然なぐらいでちょうどいいの
[rok205_047] 逆に言うと、いつも通りじゃダメなんだよ
[rok205_048] そのための準備をしに行くんだよ
[rok205_050] まーかせて！　多分……３０分ぐらいかな？　それまでまー坊は、ここで大人しくしておいてね
[rok205_051] 行こっか、常陸さん
[rok205_052] 大丈夫、大丈夫。お姉さんにまーかせて
[rok205_053] 常陸さんは元が可愛いから、何を着てもきっと似合うよ
[rok205_054] さー、脱ぎ脱ぎしましょうかー？
[rok205_055] お待たせお待たせー。ようやく終わったよ、ふぅー
[rok205_056] どうしたって……え？あれ？なんでいないの！？
[rok205_057] 常陸さん何してるの
[rok205_058] 何言ってるの、いつもは生足をあんなにさらけ出しておいて
[rok205_059] アタシからすれば、むしろアッチの方がずっと恥ずかしいよ
[rok205_060] 大丈夫だから自信を持って。ほら行っておいでってば
[rok205_061] ……ジー……
[rok205_062] ナイスまー坊。うんうん、いいね。こういうのが青春。お見合いじゃないデートだよ
[rok205_063] さて、それじゃあデートの続き。ほら、座って座って
[rok205_064] それで、常陸さんは横に
[rok205_065] ほーら。デートなんだから
[rok205_066] それではお客様。わらび餅をお持ち致します。少々お待ち下さい
[rok205_067] お待たせいたしました。わらび餅になります。ごゆっくりどうぞ
[rok205_068] お父さんに伝えておく
[rok205_069] こちらこそ、ご利用ありがとうございました。またいつでもいらして下さい
[rok205_070] 引き続きデート、頑張ってね。
[rok207_001] いらっしゃいませー
[rok207_002] って、まー坊と常陸さん。あれ？今日もデート？
[rok207_003] それって……
[rok207_004] おー！なんともめでたい！
[rok207_005] お役に立てたなら、それだけで十分
[rok207_006] っと、いつまでも立たせたままで失礼しました
[rok207_007] そうですね……では、お茶のゼリーは如何でしょうか？
[rok207_008] ごゆっくりどうぞ
[rok209_001] いらっしゃいませー
[rok209_002] ああ、お２人さん。今日もデートですか？仲がおよろしいことでー
[rok209_003] え？ああ、いえ。申し訳ありません、悪ふざけが過ぎました
[rok209_004] 当店をご利用いただきまして、誠にありがとうございます。勿論何度でもいらして下さい
[rok209_005] お時間のないときでも、品によってはお持ち帰りできますので、何卒ご贔屓に
[rok209_006] 有難うございます
[rok209_007] 用事？
[rok209_008] なるほど
[rok209_009] いわくつきの呪われたアイテムがないか、調べてるってことだね？
[rok209_010] んー……そうだねぇ……まあ、昔から言い伝えられてる妖怪の話ぐらいなら
[rok209_011] 呪いのアイテムとかじゃないんだけど、山の中で変な生物の目撃証言があってね
[rok209_012] 真っ黒で、ずんぐりむっくりしてて……おおよそ生き物には見えないのが、山の中を這い回ってるんだって
[rok209_013] たまたま夜の森の中でそれを見たって人は、まるで腐敗した動物が動いてるみたいだった……とか
[rok209_014] 実はその妖怪は肉食で、夜中に山から下りてくるから、早く寝ない悪い子は山に連れてかれて食べられちゃう！
[rok209_015] って……子供の頃にはよく脅されたもんだよ
[rok209_016] だろうねぇ。その妖怪が深く関係する品物も、聞いたことがないから
[rok209_017] あっ、でも思いだした！幽霊の話もあったよ
[rok209_019] 実はね、“建実神社”には“幽霊”がでるって噂が、昔から\\nずーっとあるんだよね
[rok209_020] そう。長い髪、露出の多い和装の、どこか子供っぽい幽霊
[rok209_021] こう、夜に神社の境内に行くと、ふわ。……って、その姿が浮かんでるんだって
[rok209_023] 『今日はよい月じゃな』って声を出したりするんだって
[rok209_024] うん。なんといっても、巫女姫様に関わっちゃうからね
[rok209_025] でも……いわくつきのアイテムってなると……やっぱり叢雨丸ぐらいしか思いつかないかな
[rok209_026] ゴメンゴメン。実はこの２人がいわくつきの呪いの品を探してるから、その相談に乗ってたところ
[rok209_028] あー……結構商魂たくましいところがあるもんね、穂織の人って。何でも取り入れちゃうから
[rok209_029] ごめんね、役に立てなくて
[rok302_001] いらっしゃいませ。あ、まー坊
[rok302_002] 一人でなんて、めずらしいね
[rok302_003] ？どうかした？
[rok302_004] うん、参加させてもらうよ
[rok302_005] その日は小春ちゃんも参加だし、店も早めに閉めていくつもり
[rok302_006] そんなに気にしないで、まー坊
[rok302_007] どの道、最近、夕方頃はお客様減っちゃって……
[rok302_008] ああ、ごめん、いけないよね、お客様に愚痴なんて
[rok302_009] さあ、お好きな席にどうぞ
[rok302_010] 何にするか決まってる？
[rok302_011] ありがとうございます！
[rok302_012] 腕によりをかけた、最高のを作って持っていくね
[rok302_013] まー坊、メニュー逆向きだけど？
[rok302_014] ？今日のまー坊、ちょっと変だよ
[rok302_015] いいけど……、ちょっと待っててね
[rok302_016] はい、プリンと抹茶お待たせしました
[rok302_017] はい、ただいままいります
[rok302_018] まー坊、ごめん、ゆっくりしてってね
[rok302_019] ありがとうございました。
[rok302_020] まー坊、またね
[rok303_001] 失礼します
[rok303_002] 本日はお招きいただきまして、ありがとうございます
[rok303_003] あ、アタシも手伝うよ
[rok303_004] あら、まー坊、優しい
[rok303_006] まー坊、堅い堅い
[rok303_007] 伝承は聞いて知ってるけど、実在してるなんて……
[rok303_008] そ、そうなんですか
[rok303_009] 御神刀を作るために人柱になった……
[rok303_012] い、いえ、そんなこと
[rok303_013] 正しいご判断と思いますよ
[rok303_014] やっぱり、威厳があって神々しい感じ……？
[rok303_015] あの伝説のムラサメ様とじゃれ合いって……
[rok303_017] まー坊が、急に痛がってるけど？！
[rok303_018] え？そうなの？
[rok304_001] まー坊、ご苦労様
[rok304_002] 今後の穂織のことで、ちょっと相談ってとこ
[rok305_001] あら、まー坊、こんにちは
[rok305_002] ご来店ありがとうございます、ムラサメ様
[rok305_003] ムラサメちゃんって呼んでる、まー坊の神経が太すぎるのよ
[rok305_004] 今なら、ご覧の通り、どの席でも座り放題よ
[rok305_005] ありがとうございます
[rok305_006] いいよ、どうしたの？
[rok305_007] ああ、アタシがつい愚痴っちゃった時ね
[rok305_008] う。。ん、そうだね……
[rok305_009] もしかして、もう朝武さんから聞いてるかも、だけど……
[rok305_010] ちゃんと統計をとったわけじゃないから、言い切ることはできないけど
[rok305_011] ここに来るお客様のお話を聞いてると……
[rok305_012] だけど、元々御神刀は、イベントのための道具じゃなかったものね
[rok305_013] 言い換えれば、今の姿が本当の穂織の姿なのかも
[rok305_014] そう考えた方が、楽かなって最近思うよ
[rok305_015] え？まー坊とムラサメ様、そんなことやってるの？
[rok305_017] ……そ、そうだね
[rok305_018] ううん、そうじゃないよ
[rok305_019] ちょっとびっくりしちゃっただけ
[rok305_020] だって、まー坊が、そんなこと言い出すなんて思わなかったよ
[rok305_021] あのちっちゃかったまー坊が、こんなに頼もしくなっちゃうんだなって
[rok305_022] お姉さん、感心しちゃった
[rok305_023] ここに来た時は、まだまだフツーに弟っぽかったのに
